player_name,hit_direction,bb_type,bips,total_level,share,below_floor,n_la,min_la,max_la,mu_la,std_la,p5_la,p95_la,n_ev,min_ev,max_ev,mu_ev,std_ev,p5_ev,p95_ev,n_dist,min_dist,max_dist,mu_dist,std_dist,p5_dist,p95_dist
"Schwarber, Kyle",Pull,fly_ball,56,213,0.263,False,55,22.0,60.0,35.073,9.167,24.4,52.8,55,67.9,113.0,101.029,9.131,83.02,110.89,55,181.0,457.0,359.291,63.935,237.4,446.6
"Schwarber, Kyle",Pull,ground_ball,92,213,0.432,False,92,-77.0,9.0,-11.826,17.421,-49.45,7.45,92,42.9,110.7,88.108,14.068,63.475,108.69,92,0.0,145.0,33.543,38.071,1.55,115.9
"Schwarber, Kyle",Pull,line_drive,53,213,0.249,False,53,5.0,25.0,15.094,4.939,7.6,23.0,53,69.7,113.2,98.702,10.812,80.3,110.44,53,112.0,408.0,243.34,74.593,140.4,375.2
"Schwarber, Kyle",Pull,popup,12,213,0.056,False,12,57.0,88.0,71.417,10.9,58.1,87.45,12,65.3,95.1,82.6,8.117,70.855,92.57,12,16.0,187.0,105.583,62.721,20.95,185.9
"Schwarber, Kyle",Straightaway,fly_ball,27,66,0.409,False,27,26.0,59.0,38.0,9.245,26.6,57.2,27,73.2,108.5,95.53,11.012,75.22,108.15,27,208.0,459.0,333.0,70.642,232.5,428.1
"Schwarber, Kyle",Straightaway,ground_ball,7,66,0.106,False,7,-24.0,13.0,-3.143,13.692,-21.6,12.7,7,42.9,108.8,85.7,24.77,49.56,108.08,7,5.0,137.0,45.143,51.392,5.6,125.3
"Schwarber, Kyle",Straightaway,line_drive,29,66,0.439,False,29,11.0,26.0,17.138,4.155,12.0,23.0,29,71.4,110.4,96.307,11.079,77.66,110.04,29,152.0,360.0,275.621,58.432,183.4,354.2
"Schwarber, Kyle",Straightaway,popup,3,66,0.045,False,3,50.0,78.0,66.0,14.422,52.0,77.2,3,54.9,92.1,76.933,19.528,57.79,91.27,3,44.0,143.0,95.667,49.642,49.6,138.7
"Sosa, Edmundo",Oppo,fly_ball,11,41,0.268,False,11,24.0,58.0,40.909,12.07,26.0,57.5,11,79.7,100.6,91.509,7.406,80.2,100.3,11,200.0,375.0,299.545,57.518,222.5,373.0
"Sosa, Edmundo",Oppo,ground_ball,12,41,0.293,False,12,-63.0,15.0,-16.167,25.038,-61.9,11.7,12,28.4,101.2,74.333,27.032,28.895,101.09,12,1.0,132.0,37.25,45.842,1.0,121.55
"Sosa, Edmundo",Oppo,line_drive,10,41,0.244,False,10,6.0,23.0,14.5,4.552,8.25,20.75,10,67.5,108.0,92.05,13.22,70.875,106.245,10,139.0,332.0,226.8,61.102,153.85,319.85
"Sosa, Edmundo",Oppo,popup,8,41,0.195,False,8,26.0,83.0,61.875,18.818,32.3,80.55,8,52.2,82.2,66.975,11.295,52.655,81.255,8,27.0,179.0,109.75,53.395,32.95,169.2
"Sosa, Edmundo",Pull,fly_ball,7,84,0.083,False,7,26.0,47.0,34.286,6.726,27.2,44.0,7,87.1,107.7,100.229,7.19,89.98,107.4,7,294.0,406.0,360.571,41.251,300.9,403.0
"Sosa, Edmundo",Pull,ground_ball,56,84,0.667,False,56,-68.0,8.0,-12.714,19.442,-61.0,6.0,56,46.6,111.6,85.596,14.802,60.55,106.475,56,1.0,120.0,31.321,33.009,1.0,96.0
"Sosa, Edmundo",Pull,line_drive,19,84,0.226,False,19,8.0,29.0,16.684,6.01,8.9,24.5,19,70.9,110.1,94.216,11.964,77.2,109.83,19,139.0,356.0,241.053,67.406,145.3,326.3
"Sosa, Edmundo",Pull,popup,2,84,0.024,False,2,63.0,66.0,64.5,2.121,63.15,65.85,2,83.9,92.1,88.0,5.798,84.31,91.69,2,150.0,162.0,156.0,8.485,150.6,161.4
"Sosa, Edmundo",Straightaway,fly_ball,16,47,0.34,False,16,23.0,53.0,33.812,8.589,23.75,47.0,16,72.1,108.5,94.619,8.582,81.025,106.4,16,238.0,442.0,338.438,53.234,247.75,413.5
"Sosa, Edmundo",Straightaway,ground_ball,13,47,0.277,False,13,-22.0,39.0,-1.154,15.154,-17.8,19.8,13,29.4,107.8,85.254,23.683,40.74,107.56,13,6.0,154.0,49.769,51.121,7.2,136.6
"Sosa, Edmundo",Straightaway,line_drive,14,47,0.298,False,14,5.0,22.0,15.429,4.783,8.9,21.35,14,80.2,107.6,93.771,10.385,81.5,106.885,14,111.0,416.0,254.143,103.403,134.4,400.4
"Sosa, Edmundo",Straightaway,popup,4,47,0.085,False,4,52.0,74.0,58.75,10.308,52.15,71.3,4,47.9,78.9,67.8,14.004,50.96,78.48,4,61.0,184.0,133.25,58.705,68.35,183.1
"Stott, Bryson",Oppo,fly_ball,38,104,0.365,False,38,24.0,62.0,40.526,10.155,26.0,58.15,38,68.3,98.0,86.684,7.431,74.37,96.525,38,185.0,377.0,281.605,51.245,201.0,366.35
"Stott, Bryson",Oppo,ground_ball,24,104,0.231,False,24,-72.0,9.0,-11.083,23.594,-58.65,7.0,24,36.5,102.1,75.712,20.469,45.145,101.27,24,1.0,129.0,53.792,49.908,2.0,124.55
"Stott, Bryson",Oppo,line_drive,26,104,0.25,False,26,8.0,27.0,17.615,5.601,9.25,25.75,26,73.6,103.6,91.492,7.562,77.3,102.2,26,155.0,332.0,257.808,45.142,177.25,323.5
"Stott, Bryson",Oppo,popup,16,104,0.154,False,16,57.0,80.0,69.5,8.287,57.75,80.0,16,63.5,93.4,78.588,7.803,67.55,88.9,16,42.0,183.0,116.375,48.992,44.25,174.75
"Stott, Bryson",Pull,fly_ball,34,203,0.167,False,34,21.0,54.0,35.588,7.97,24.65,48.7,34,73.7,109.9,94.385,8.34,79.005,104.055,34,249.0,464.0,337.882,49.939,255.55,406.8
"Stott, Bryson",Pull,ground_ball,125,203,0.616,False,125,-78.0,10.0,-11.904,18.079,-52.8,7.0,125,44.9,107.6,87.622,13.67,59.0,104.18,124,0.0,150.0,32.435,36.216,1.0,102.85
"Stott, Bryson",Pull,line_drive,37,203,0.182,False,36,9.0,25.0,16.722,4.949,10.0,25.0,36,75.9,111.9,97.311,9.954,81.75,109.825,36,152.0,395.0,268.778,66.425,172.75,393.0
"Stott, Bryson",Pull,popup,7,203,0.034,False,7,59.0,75.0,67.429,5.798,59.9,74.4,7,75.7,95.3,83.786,6.4,76.63,92.81,7,90.0,185.0,129.714,39.041,90.9,178.7
"Stott, Bryson",Straightaway,fly_ball,38,103,0.369,False,38,24.0,61.0,35.526,8.773,24.85,48.05,38,74.9,104.2,93.703,6.549,81.43,101.405,38,211.0,405.0,332.632,48.338,253.0,399.15
"Stott, Bryson",Straightaway,ground_ball,25,103,0.243,False,24,-69.0,13.0,-10.417,18.408,-43.25,6.0,24,32.9,106.2,86.783,17.804,53.295,102.035,24,1.0,141.0,34.75,38.718,2.15,112.55
"Stott, Bryson",Straightaway,line_drive,36,103,0.35,False,36,8.0,27.0,17.083,5.073,10.0,25.5,36,70.6,104.6,90.453,9.166,75.775,103.475,36,157.0,399.0,255.667,60.318,169.5,365.25
"Stott, Bryson",Straightaway,popup,4,103,0.039,False,4,54.0,69.0,62.5,7.234,54.75,68.85,4,62.9,87.2,76.25,11.279,64.13,86.69,4,103.0,160.0,138.5,25.826,107.95,159.25
"Stubbs, Garrett",Oppo,fly_ball,6,16,0.375,True,6,27.0,59.0,37.5,11.274,27.75,53.5,6,64.4,93.1,82.917,10.613,67.925,92.9,6,197.0,337.0,268.333,57.584,197.5,328.0
"Stubbs, Garrett",Oppo,ground_ball,7,16,0.438,True,7,-25.0,6.0,-7.0,13.491,-23.8,6.0,7,60.0,91.7,79.029,10.501,64.05,90.83,7,6.0,115.0,44.429,45.931,6.3,110.8
"Stubbs, Garrett",Oppo,popup,3,16,0.188,True,3,49.0,65.0,58.333,8.327,50.2,64.6,3,28.7,77.3,58.967,26.406,32.92,76.66,3,53.0,175.0,121.0,62.193,61.2,171.0
"Stubbs, Garrett",Pull,fly_ball,3,17,0.176,True,3,31.0,40.0,37.0,5.196,31.9,40.0,3,68.5,95.2,84.433,14.08,70.61,94.64,3,238.0,323.0,291.333,46.458,245.5,322.0
"Stubbs, Garrett",Pull,ground_ball,12,17,0.706,True,12,-61.0,4.0,-14.25,18.326,-43.95,1.8,12,44.1,102.7,86.992,15.993,60.16,100.61,12,1.0,83.0,22.5,23.865,1.55,61.0
"Stubbs, Garrett",Pull,line_drive,2,17,0.118,True,2,11.0,19.0,15.0,5.657,11.4,18.6,2,59.6,103.5,81.55,31.042,61.795,101.305,2,143.0,231.0,187.0,62.225,147.4,226.6
"Stubbs, Garrett",Straightaway,fly_ball,2,10,0.2,True,2,40.0,44.0,42.0,2.828,40.2,43.8,2,90.1,90.9,90.5,0.566,90.14,90.86,2,311.0,316.0,313.5,3.536,311.25,315.75
"Stubbs, Garrett",Straightaway,ground_ball,3,10,0.3,True,3,-18.0,1.0,-8.333,9.504,-17.0,0.1,3,59.3,99.9,76.0,21.236,60.25,96.79,3,6.0,36.0,18.333,15.695,6.7,33.7
"Stubbs, Garrett",Straightaway,line_drive,4,10,0.4,True,4,9.0,23.0,15.75,7.274,9.15,22.7,4,86.1,98.4,95.0,5.941,87.84,98.31,4,165.0,370.0,275.0,95.955,174.15,365.35
"Stubbs, Garrett",Straightaway,popup,1,10,0.1,True,1,53.0,53.0,53.0,,53.0,53.0,1,83.0,83.0,83.0,,83.0,83.0,1,233.0,233.0,233.0,,233.0,233.0
"Turner, Trea",Oppo,fly_ball,48,164,0.293,False,48,23.0,62.0,37.812,9.727,25.35,58.3,48,63.0,102.5,90.329,8.894,73.105,101.13,48,179.0,376.0,299.604,56.856,195.45,373.65
"Turner, Trea",Oppo,ground_ball,62,164,0.378,False,62,-79.0,13.0,-14.903,21.276,-54.8,9.0,62,29.9,107.8,82.995,18.731,46.155,103.195,62,0.0,151.0,31.661,38.229,1.05,114.7
"Turner, Trea",Oppo,line_drive,37,164,0.226,False,37,7.0,26.0,17.081,4.579,9.8,24.2,37,67.9,106.7,91.905,9.128,73.84,101.8,37,147.0,354.0,261.27,59.341,153.2,330.8
"Turner, Trea",Oppo,popup,17,164,0.104,False,17,57.0,87.0,72.294,8.971,59.4,83.0,17,55.1,87.9,74.465,9.566,60.86,87.74,17,21.0,155.0,88.529,46.856,22.6,149.4
"Turner, Trea",Pull,fly_ball,34,186,0.183,False,34,22.0,55.0,38.029,9.1,26.0,53.7,34,68.9,109.1,91.685,10.196,73.115,104.865,34,200.0,434.0,321.588,69.522,211.85,417.5
"Turner, Trea",Pull,ground_ball,107,186,0.575,False,107,-83.0,10.0,-14.963,19.476,-54.1,6.0,107,48.3,109.2,88.186,13.405,64.18,105.41,107,0.0,167.0,30.234,36.089,1.3,108.0
"Turner, Trea",Pull,line_drive,32,186,0.172,False,32,8.0,26.0,16.625,4.891,9.55,25.0,32,74.8,110.1,95.781,10.69,76.375,109.095,32,151.0,382.0,277.594,68.665,166.3,363.15
"Turner, Trea",Pull,popup,13,186,0.07,False,13,36.0,84.0,61.077,12.23,43.2,78.6,13,24.9,95.8,77.923,18.43,45.6,95.38,13,19.0,226.0,144.0,68.3,30.4,222.4
"Turner, Trea",Straightaway,fly_ball,41,119,0.345,False,41,19.0,58.0,35.195,10.011,25.0,56.0,41,68.5,105.2,91.195,9.446,73.1,102.6,41,192.0,423.0,322.585,67.208,212.0,404.0
"Turner, Trea",Straightaway,ground_ball,43,119,0.361,False,43,-79.0,10.0,-16.256,23.189,-62.8,5.9,43,35.7,109.1,86.472,15.345,63.68,106.87,43,1.0,139.0,29.628,34.518,1.0,99.5
"Turner, Trea",Straightaway,line_drive,28,119,0.235,False,28,8.0,28.0,18.0,5.27,10.0,27.0,28,68.5,104.2,91.332,10.454,74.69,103.86,28,194.0,388.0,283.071,54.36,204.85,374.9
"Turner, Trea",Straightaway,popup,7,119,0.059,False,7,60.0,69.0,64.0,3.162,60.6,68.4,7,65.7,88.3,80.5,8.909,67.2,88.12,7,96.0,181.0,133.429,27.434,101.4,171.7
