dimension,slice,metric,rate_2026,n_2026,rate_2023_25,n_2023_25,diff,z
zone_row,Down,pull,0.453781512605042,119,0.5291375291375291,429,-0.07535601653248708,-1.4551291744005803
zone_row,Down,straightaway,0.226890756302521,119,0.21212121212121213,429,0.01476954418130888,0.34680413490763035
zone_row,Down,oppo,0.31932773109243695,119,0.25874125874125875,429,0.0605864723511782,1.314281789469009
zone_row,Middle,pull,0.3858695652173913,184,0.44337811900191937,521,-0.05750855378452807,-1.355185615628765
zone_row,Middle,straightaway,0.27717391304347827,184,0.2437619961612284,521,0.03341191688224987,0.8968264641886345
zone_row,Middle,oppo,0.33695652173913043,184,0.31285988483685223,521,0.0240966369022782,0.602791177735377
zone_row,Up,pull,0.35526315789473684,76,0.4427083333333333,192,-0.08744517543859648,-1.3082458037433244
zone_row,Up,straightaway,0.21052631578947367,76,0.22916666666666666,192,-0.018640350877192985,-0.3299678278732626
zone_row,Up,oppo,0.4342105263157895,76,0.328125,192,0.10608552631578949,1.6326049273122423
zone_col,Inside,pull,0.5849056603773585,106,0.6666666666666666,306,-0.08176100628930816,-1.5166704862577394
zone_col,Inside,straightaway,0.18867924528301888,106,0.16666666666666666,306,0.022012578616352224,0.5171622426254989
zone_col,Inside,oppo,0.22641509433962265,106,0.16666666666666666,306,0.05974842767295599,1.3738621306186736
zone_col,Middle,pull,0.3684210526315789,152,0.4403292181069959,486,-0.07190816547541695,-1.5661115255695832
zone_col,Middle,straightaway,0.2565789473684211,152,0.25308641975308643,486,0.0034925276153346396,0.08634339740282126
zone_col,Middle,oppo,0.375,152,0.3065843621399177,486,0.06841563786008231,1.5744546820885006
zone_col,Outside,pull,0.2809917355371901,121,0.35714285714285715,350,-0.07615112160566706,-1.5269949684617923
zone_col,Outside,straightaway,0.2892561983471074,121,0.25142857142857145,350,0.03782762691853597,0.8165900433545884
zone_col,Outside,oppo,0.4297520661157025,121,0.3914285714285714,350,0.03832349468713109,0.7413901466736286
zone_cell,1,pull,0.5483870967741935,31,0.7377049180327869,61,-0.18931782125859342,-1.8309424920311637
zone_cell,1,straightaway,0.1935483870967742,31,0.11475409836065574,61,0.07879428873611845,1.025531951638401
zone_cell,1,oppo,0.25806451612903225,31,0.14754098360655737,61,0.11052353252247488,1.2910389442470231
zone_cell,2,pull,0.22580645161290322,31,0.3333333333333333,81,-0.1075268817204301,-1.1072932672957825
zone_cell,2,straightaway,0.2903225806451613,31,0.2716049382716049,81,0.018717642373556387,0.1980889073994998
zone_cell,2,oppo,0.4838709677419355,31,0.3950617283950617,81,0.08880923934687379,0.852088905623076
zone_cell,3,pull,0.21428571428571427,14,0.26,50,-0.045714285714285735,-0.349148624377588
zone_cell,3,straightaway,0.07142857142857142,14,0.3,50,-0.22857142857142856,-1.7457431218879391
zone_cell,3,oppo,0.7142857142857143,14,0.44,50,0.2742857142857143,1.814229470444291
zone_cell,4,pull,0.6122448979591837,49,0.6204819277108434,166,-0.008237029751659741,-0.10430597859035615
zone_cell,4,straightaway,0.20408163265306123,49,0.18674698795180722,166,0.01733464470125401,0.2714061635179471
zone_cell,4,oppo,0.1836734693877551,49,0.1927710843373494,166,-0.009097614949594296,-0.14244011418672392
zone_cell,5,pull,0.3684210526315789,76,0.3944954128440367,218,-0.026074360212457792,-0.40172946913020185
zone_cell,5,straightaway,0.2631578947368421,76,0.27522935779816515,218,-0.012071463061323062,-0.20361826743225755
zone_cell,5,oppo,0.3684210526315789,76,0.3302752293577982,218,0.03814582327378074,0.6044422806708765
zone_cell,6,pull,0.22033898305084745,59,0.30656934306569344,137,-0.08623036001484599,-1.2324906216582674
zone_cell,6,straightaway,0.3559322033898305,59,0.26277372262773724,137,0.09315848076209327,1.3173218473539674
zone_cell,6,oppo,0.423728813559322,59,0.4306569343065693,137,-0.006928120747247302,-0.08990443558832444
zone_cell,7,pull,0.5769230769230769,26,0.7088607594936709,79,-0.13193768257059402,-1.2470822213954338
zone_cell,7,straightaway,0.15384615384615385,26,0.16455696202531644,79,-0.01071080817916259,-0.12860306343049108
zone_cell,7,oppo,0.2692307692307692,26,0.12658227848101267,79,0.14264849074975655,1.7127589811424522
zone_cell,8,pull,0.4666666666666667,45,0.5401069518716578,187,-0.07344028520499113,-0.885786688482396
zone_cell,8,straightaway,0.2222222222222222,45,0.2192513368983957,187,0.0029708853238265,0.043204856347182595
zone_cell,8,oppo,0.3111111111111111,45,0.24064171122994651,187,0.0704693998811646,0.974591385440891
zone_cell,9,pull,0.375,48,0.4294478527607362,163,-0.054447852760736215,-0.6724229290106836
zone_cell,9,straightaway,0.2708333333333333,48,0.22699386503067484,163,0.043839468302658474,0.6278024216895727
zone_cell,9,oppo,0.3541666666666667,48,0.34355828220858897,163,0.010608384458077713,0.13580129952829997
