pitch_uid,game_year,game_date,plate_x,plate_z,zone,pitch_type,p_throws,type,is_bip,events,description
716454-36-2,2023,2023-09-24,-0.26,2.77,5.0,SI,R,S,False,,foul
716454-5-1,2023,2023-09-24,-1.08,1.37,13.0,SI,R,B,False,,ball
716454-36-1,2023,2023-09-24,0.93,1.93,14.0,SI,R,B,False,,ball
716466-40-1,2023,2023-09-23,0.4,1.16,14.0,CH,L,X,True,fielders_choice,hit_into_play
716466-24-4,2023,2023-09-23,-0.04,4.06,11.0,FF,L,S,False,strikeout,swinging_strike
716466-24-3,2023,2023-09-23,-0.03,0.44,13.0,CU,L,S,False,,swinging_strike
716466-24-2,2023,2023-09-23,0.34,0.62,14.0,CH,L,B,False,,ball
716466-24-1,2023,2023-09-23,-0.72,2.16,7.0,SI,L,S,False,,called_strike
716466-6-1,2023,2023-09-23,0.04,2.76,5.0,SI,L,X,True,field_out,hit_into_play
716466-59-5,2023,2023-09-23,0.83,2.12,14.0,SL,R,X,True,field_out,hit_into_play
716466-59-4,2023,2023-09-23,-0.28,0.64,13.0,FS,R,B,False,,ball
716466-59-3,2023,2023-09-23,2.11,1.7,14.0,ST,R,B,False,,ball
716466-59-2,2023,2023-09-23,1.17,1.13,14.0,ST,R,S,False,,swinging_strike
716466-59-1,2023,2023-09-23,-0.34,2.69,4.0,SL,R,S,False,,called_strike
716481-43-6,2023,2023-09-22,0.46,1.96,9.0,CH,R,X,True,field_out,hit_into_play
716481-43-5,2023,2023-09-22,-0.05,2.9,2.0,SL,R,S,False,,foul
716481-43-4,2023,2023-09-22,0.64,2.32,6.0,FF,R,S,False,,foul
716481-43-3,2023,2023-09-22,0.99,3.35,12.0,FF,R,B,False,,ball
716481-43-2,2023,2023-09-22,-0.33,3.0,1.0,FF,R,S,False,,swinging_strike
716481-43-1,2023,2023-09-22,-0.15,3.58,11.0,FF,R,B,False,,ball
716481-23-4,2023,2023-09-22,-0.18,2.54,5.0,CH,R,X,True,field_out,hit_into_play
716481-23-3,2023,2023-09-22,1.05,3.48,12.0,FF,R,B,False,,ball
716481-23-2,2023,2023-09-22,0.73,2.91,3.0,CH,R,S,False,,called_strike
716481-23-1,2023,2023-09-22,0.27,0.9,14.0,SL,R,B,False,,ball
716481-55-4,2023,2023-09-22,1.13,2.18,14.0,SL,R,X,True,force_out,hit_into_play
716481-55-3,2023,2023-09-22,0.79,1.44,14.0,SL,R,S,False,,swinging_strike
716481-55-2,2023,2023-09-22,0.01,4.14,12.0,FF,R,B,False,,ball
716481-73-2,2023,2023-09-22,0.67,2.14,9.0,CH,L,X,True,field_out,hit_into_play
716481-7-8,2023,2023-09-22,-0.77,3.91,11.0,FF,R,B,False,walk,ball
716481-55-1,2023,2023-09-22,0.13,3.58,12.0,FF,R,S,False,,swinging_strike
716481-73-1,2023,2023-09-22,0.77,2.79,6.0,SI,L,S,False,,called_strike
716481-7-7,2023,2023-09-22,0.88,1.77,14.0,SL,R,B,False,,ball
716481-7-6,2023,2023-09-22,0.19,1.32,14.0,CU,R,S,False,,foul
716481-7-5,2023,2023-09-22,1.01,2.57,12.0,FF,R,S,False,,foul
716481-7-4,2023,2023-09-22,0.67,0.67,14.0,SL,R,B,False,,ball
716481-7-3,2023,2023-09-22,0.88,2.85,12.0,FF,R,B,False,,ball
716481-7-2,2023,2023-09-22,-0.11,3.1,2.0,FF,R,S,False,,foul
716481-7-1,2023,2023-09-22,-0.6,2.17,7.0,SL,R,S,False,,called_strike
716490-25-5,2023,2023-09-21,-0.28,2.04,7.0,SI,L,X,True,field_out,hit_into_play
716490-25-4,2023,2023-09-21,0.02,0.78,14.0,SL,L,B,False,,ball
716490-25-3,2023,2023-09-21,-0.01,1.25,13.0,CH,L,B,False,,ball
716490-25-2,2023,2023-09-21,-0.08,1.92,8.0,SI,L,S,False,,foul
716490-25-1,2023,2023-09-21,-0.95,0.69,13.0,CU,L,B,False,,ball
716490-5-7,2023,2023-09-21,-1.8,0.99,13.0,SL,L,B,False,walk,ball
716490-5-6,2023,2023-09-21,0.25,2.21,8.0,CH,L,S,False,,foul
716490-5-5,2023,2023-09-21,-1.23,1.79,13.0,FF,L,B,False,,ball
716490-5-4,2023,2023-09-21,0.03,1.79,8.0,SI,L,S,False,,foul
716490-5-3,2023,2023-09-21,-0.41,1.39,13.0,SI,L,B,False,,ball
716490-5-2,2023,2023-09-21,-0.85,1.83,13.0,CH,L,B,False,,ball
716490-42-6,2023,2023-09-21,1.47,1.05,14.0,ST,R,B,False,walk,ball
716490-55-5,2023,2023-09-21,-1.02,2.83,11.0,SI,R,X,True,field_out,hit_into_play
716490-42-5,2023,2023-09-21,2.17,1.63,14.0,ST,R,B,False,,ball
716490-5-1,2023,2023-09-21,0.31,2.38,6.0,SI,L,S,False,,called_strike
716490-42-4,2023,2023-09-21,0.8,1.51,14.0,ST,R,S,False,,swinging_strike
716490-55-4,2023,2023-09-21,1.31,0.38,14.0,ST,R,B,False,,blocked_ball
716490-55-3,2023,2023-09-21,1.25,1.65,14.0,ST,R,S,False,,swinging_strike
716490-42-3,2023,2023-09-21,0.36,2.21,9.0,FF,R,S,False,,called_strike
716490-42-2,2023,2023-09-21,1.26,2.02,14.0,ST,R,B,False,,ball
716490-55-2,2023,2023-09-21,-0.92,3.8,11.0,SI,R,B,False,,ball
716490-42-1,2023,2023-09-21,1.42,1.38,14.0,ST,R,B,False,,ball
716490-55-1,2023,2023-09-21,0.65,2.0,9.0,SI,R,S,False,,called_strike
716509-17-3,2023,2023-09-20,-0.29,2.56,4.0,CH,R,X,True,field_out,hit_into_play
716509-17-2,2023,2023-09-20,0.7,-0.63,14.0,CH,R,B,False,,ball
716509-17-1,2023,2023-09-20,0.64,2.03,9.0,SI,R,S,False,,foul_tip
716509-2-6,2023,2023-09-20,-0.97,4.52,11.0,SI,R,B,False,walk,ball
716509-2-5,2023,2023-09-20,-1.7,2.03,13.0,SI,R,B,False,,blocked_ball
716509-2-4,2023,2023-09-20,0.13,4.09,12.0,SI,R,B,False,,ball
716509-2-3,2023,2023-09-20,1.42,1.11,14.0,SL,R,B,False,,ball
716509-53-4,2023,2023-09-20,0.51,2.19,9.0,SI,L,X,True,field_out,hit_into_play
716509-2-2,2023,2023-09-20,0.78,1.4,14.0,SL,R,S,False,,swinging_strike
716509-53-3,2023,2023-09-20,-0.04,0.59,13.0,ST,L,B,False,,ball
716509-74-1,2023,2023-09-20,0.65,1.53,14.0,CH,L,X,True,grounded_into_double_play,hit_into_play
716509-53-2,2023,2023-09-20,0.68,1.63,9.0,ST,L,B,False,,ball
716509-2-1,2023,2023-09-20,-0.22,2.55,5.0,SL,R,S,False,,called_strike
716509-53-1,2023,2023-09-20,0.3,1.51,9.0,ST,L,S,False,,called_strike
716509-35-2,2023,2023-09-20,0.67,2.33,6.0,FC,R,X,True,field_out,hit_into_play
716509-35-1,2023,2023-09-20,0.81,2.09,9.0,SI,R,S,False,,called_strike
716521-47-4,2023,2023-09-19,0.65,2.6,6.0,SL,R,X,True,force_out,hit_into_play
716521-47-3,2023,2023-09-19,0.35,2.46,6.0,FF,R,S,False,,foul
716521-47-2,2023,2023-09-19,-0.14,2.84,5.0,FF,R,S,False,,foul
716521-47-1,2023,2023-09-19,-0.28,2.48,4.0,FF,R,S,False,,foul
716521-24-3,2023,2023-09-19,-0.05,2.63,5.0,SL,R,X,True,field_out,hit_into_play
716521-24-2,2023,2023-09-19,-0.7,3.05,1.0,SL,R,S,False,,called_strike
716521-24-1,2023,2023-09-19,-0.53,3.06,1.0,FF,R,S,False,,foul
716521-2-4,2023,2023-09-19,-1.52,3.92,11.0,FF,R,B,False,hit_by_pitch,hit_by_pitch
716521-2-3,2023,2023-09-19,0.07,3.95,12.0,FF,R,B,False,,ball
716521-70-5,2023,2023-09-19,1.53,1.45,14.0,SL,R,S,False,strikeout,swinging_strike
716521-2-2,2023,2023-09-19,0.09,2.86,2.0,FF,R,S,False,,foul
716521-70-4,2023,2023-09-19,0.39,3.27,3.0,FF,R,S,False,,foul
716521-2-1,2023,2023-09-19,0.37,2.56,6.0,FF,R,S,False,,foul
716521-70-3,2023,2023-09-19,-0.84,3.67,11.0,FF,R,S,False,,foul
716521-70-2,2023,2023-09-19,0.11,3.29,2.0,FF,R,S,False,,foul
716521-70-1,2023,2023-09-19,0.16,4.31,12.0,FF,R,B,False,,ball
716532-34-2,2023,2023-09-18,0.6,1.95,9.0,SI,R,X,True,single,hit_into_play
716532-34-1,2023,2023-09-18,1.42,1.97,14.0,SI,R,B,False,,ball
716532-18-7,2023,2023-09-18,0.17,1.92,8.0,KC,R,X,True,field_out,hit_into_play
716532-18-6,2023,2023-09-18,0.94,1.1,14.0,CH,R,S,False,,foul
716532-18-5,2023,2023-09-18,-0.64,2.57,4.0,SI,R,S,False,,foul
716532-18-4,2023,2023-09-18,2.66,1.13,14.0,KC,R,B,False,,ball
716532-18-3,2023,2023-09-18,0.24,0.91,14.0,SI,R,B,False,,ball
716532-18-2,2023,2023-09-18,-0.17,2.95,2.0,FF,R,S,False,,foul
716532-18-1,2023,2023-09-18,0.0,1.67,8.0,KC,R,S,False,,called_strike
716532-46-2,2023,2023-09-18,-0.57,2.44,4.0,SL,R,X,True,field_out,hit_into_play
716532-46-1,2023,2023-09-18,-0.32,2.79,4.0,SL,R,S,False,,called_strike
716532-67-5,2023,2023-09-18,0.45,0.77,14.0,CU,L,S,False,strikeout,swinging_strike_blocked
716532-67-4,2023,2023-09-18,-0.9,3.02,11.0,FC,L,S,False,,foul
716532-67-3,2023,2023-09-18,-1.02,0.31,13.0,ST,L,B,False,,ball
716532-67-2,2023,2023-09-18,-0.42,2.82,4.0,ST,L,S,False,,swinging_strike
716532-67-1,2023,2023-09-18,0.79,3.3,3.0,ST,L,B,False,,ball
716532-2-1,2023,2023-09-18,-0.39,2.31,4.0,SI,R,X,True,single,hit_into_play
716541-38-3,2023,2023-09-17,-0.35,2.8,4.0,SL,R,X,True,field_out,hit_into_play
716541-38-2,2023,2023-09-17,-0.18,3.07,2.0,CU,R,S,False,,foul
716541-38-1,2023,2023-09-17,-0.15,2.96,2.0,CU,R,S,False,,foul
716541-17-5,2023,2023-09-17,0.61,0.76,14.0,SL,R,S,False,strikeout,swinging_strike_blocked
716541-17-4,2023,2023-09-17,0.56,3.72,12.0,FF,R,S,False,,foul
716541-17-3,2023,2023-09-17,-0.08,2.14,8.0,SI,R,S,False,,foul
716541-17-2,2023,2023-09-17,-0.74,2.61,4.0,SI,R,S,False,,foul
716541-17-1,2023,2023-09-17,1.0,1.09,14.0,SL,R,B,False,,ball
716541-68-4,2023,2023-09-17,-0.26,1.63,8.0,CH,L,X,True,field_out,hit_into_play
716541-68-3,2023,2023-09-17,2.64,2.84,12.0,CH,L,B,False,,ball
716541-68-2,2023,2023-09-17,0.65,1.17,14.0,CH,L,S,False,,swinging_strike
716541-68-1,2023,2023-09-17,0.78,1.16,14.0,CH,L,S,False,,swinging_strike
716541-2-2,2023,2023-09-17,0.05,1.19,14.0,CU,R,X,True,single,hit_into_play
716541-2-1,2023,2023-09-17,-0.05,1.32,13.0,SL,R,S,False,,swinging_strike
716541-56-1,2023,2023-09-17,0.58,1.8,9.0,FF,R,X,True,single,hit_into_play
716557-39-3,2023,2023-09-16,-0.91,2.97,11.0,FF,R,X,True,field_out,hit_into_play
716557-39-2,2023,2023-09-16,1.42,-0.37,14.0,CU,R,B,False,,ball
716557-39-1,2023,2023-09-16,0.37,1.94,9.0,SL,R,S,False,,called_strike
716557-19-3,2023,2023-09-16,0.2,2.45,5.0,SL,R,X,True,field_out,hit_into_play
716557-19-2,2023,2023-09-16,-1.0,2.95,11.0,FF,R,S,False,,called_strike
716557-19-1,2023,2023-09-16,-1.35,3.16,11.0,SI,R,B,False,,ball
716557-2-5,2023,2023-09-16,-0.1,2.74,5.0,CU,R,X,True,double,hit_into_play
716557-2-4,2023,2023-09-16,1.27,3.08,12.0,FF,R,B,False,,ball
716557-2-3,2023,2023-09-16,0.25,1.88,8.0,FF,R,S,False,,swinging_strike
716557-55-1,2023,2023-09-16,0.45,1.8,9.0,FF,R,X,True,field_out,hit_into_play
716557-2-2,2023,2023-09-16,0.93,0.56,14.0,SL,R,B,False,,ball
716557-2-1,2023,2023-09-16,0.45,2.1,9.0,FF,R,S,False,,called_strike
716572-40-4,2023,2023-09-15,0.01,3.14,2.0,CU,L,X,True,grounded_into_double_play,hit_into_play
716572-40-3,2023,2023-09-15,-0.04,3.53,11.0,CU,L,S,False,,called_strike
716572-40-2,2023,2023-09-15,3.01,2.87,12.0,CH,L,B,False,,ball
716572-40-1,2023,2023-09-15,1.05,3.11,12.0,FF,L,S,False,,foul
