game_year,game_date,game_pk,at_bat_number,pitch_number,p_throws,stand,pitch_type,zone,hc_x,hc_y,loc_x,loc_y,type,events,bb_type,hit_direction,ooz,sort_rank
2023,2023-09-15,716572,2,6,L,R,FF,11.0,109.65,64.32,-39.356731669999995,334.29513045000004,X,single,line_drive,Straightaway,True,1
2023,2023-09-13,716603,45,2,R,R,FF,5.0,186.07,85.38,151.36244614999998,281.73629919000007,X,field_out,fly_ball,Oppo,False,2
2023,2023-09-13,716603,24,2,R,R,SL,9.0,80.12,72.39,-113.0538963,314.1550654800001,X,field_out,line_drive,Pull,False,0
2023,2023-09-13,716603,7,7,R,R,FF,8.0,185.69,90.7,150.41409117,268.45932947000006,X,field_out,line_drive,Oppo,False,2
2023,2023-09-12,716618,28,3,L,R,CH,9.0,93.44,100.59,-79.81155858000001,243.77714328000005,X,single,line_drive,Pull,False,0
2023,2023-09-12,716618,62,1,R,R,SI,6.0,128.82,85.84,8.485281399999979,280.58829053000005,X,single,ground_ball,Straightaway,False,1
2023,2023-09-12,716618,79,8,R,R,FF,5.0,60.0,49.11,-163.26679682000002,372.2542863600001,X,home_run,fly_ball,Pull,False,0
2023,2023-09-12,716618,6,3,L,R,SI,14.0,140.88,153.73,38.58307365999999,111.15718634000007,X,field_out,ground_ball,Oppo,True,2
2023,2023-09-11,716590,55,3,R,R,CU,14.0,149.36,159.39,59.746363740000035,97.03168848000007,X,field_out,ground_ball,Oppo,True,2
2023,2023-09-11,716590,19,3,R,R,KC,7.0,105.67,155.49,-49.289502250000005,106.76480538000001,X,force_out,ground_ball,Pull,False,0
2023,2023-09-11,717664,23,1,R,R,FF,9.0,193.61,78.06,170.17980549000004,300.00461091000005,X,field_out,fly_ball,Oppo,False,2
2023,2023-09-11,717664,79,3,R,R,SI,4.0,154.61,149.15,72.84863649000003,122.58735952000002,X,field_error,ground_ball,Oppo,False,2
2023,2023-09-11,716590,7,5,R,R,SI,8.0,110.75,89.84,-36.61149357000001,270.60560653000005,X,single,ground_ball,Straightaway,False,1
2023,2023-09-11,717664,63,1,L,R,FF,2.0,60.63,40.4,-161.69452409,393.99158077000004,X,home_run,fly_ball,Pull,False,0
2023,2023-09-11,716590,37,3,R,R,FC,9.0,85.8,80.92,-98.87848502000001,292.86699185000003,X,double,line_drive,Pull,False,0
2023,2023-09-10,716643,21,5,R,R,FF,1.0,155.29,87.83,74.54569276999999,275.62190524000005,X,field_out,fly_ball,Oppo,False,2
2023,2023-09-10,716643,57,5,R,R,FC,12.0,158.38,141.52,82.25731615999999,141.62932925,X,single,ground_ball,Oppo,True,2
2023,2023-09-10,716643,37,1,L,R,ST,5.0,160.34,179.48,87.14883132000001,46.89365809000005,X,field_out,popup,Oppo,False,2
2023,2023-09-10,716643,6,1,L,R,FF,5.0,156.92,31.07,78.61363649999997,417.2761912000001,X,home_run,fly_ball,Straightaway,False,1
2023,2023-09-09,716653,55,2,L,R,SI,8.0,143.87,85.41,46.04512995000001,281.66142906000005,X,field_out,line_drive,Straightaway,False,1
2023,2023-09-09,716653,6,3,R,R,SI,11.0,113.29,160.07,-30.27248922999999,95.33463220000004,X,grounded_into_double_play,ground_ball,Pull,True,0
2023,2023-09-08,716679,40,1,R,R,SL,2.0,67.96,101.08,-143.40125566000003,242.55426449000004,X,single,line_drive,Pull,False,0
2023,2023-09-08,716679,7,3,R,R,SL,5.0,29.51,86.3,-239.35980561000002,279.44028187000004,X,home_run,fly_ball,Pull,False,0
2023,2023-09-04,716720,49,4,R,R,SL,3.0,120.89,45.92,-11.305389630000004,380.2154768500001,X,field_out,fly_ball,Straightaway,False,1
2023,2023-09-04,716720,16,3,L,R,FF,5.0,3.47,89.0,-304.34707845,272.70197017000004,X,home_run,fly_ball,Pull,False,0
2023,2023-09-04,716720,2,6,L,R,SL,2.0,66.08,114.5,-148.09311714000003,209.06235967000003,X,single,line_drive,Pull,False,0
2023,2023-09-04,716720,88,6,L,R,SI,9.0,165.7,82.13,100.52562787999997,289.84722994000003,X,field_out,fly_ball,Oppo,False,2
2023,2023-09-04,716720,68,2,L,R,SI,3.0,185.19,76.36,149.16625567,304.24725161000003,X,field_out,fly_ball,Oppo,False,2
2023,2023-09-03,716736,42,3,L,R,CH,8.0,97.96,162.6,-68.53112566000003,89.02058457000005,X,single,ground_ball,Pull,False,0
2023,2023-09-03,716736,55,4,R,R,SI,9.0,107.91,109.03,-43.69919921000002,222.71368004000004,X,single,ground_ball,Straightaway,False,1
2023,2023-09-03,716736,73,1,R,R,CU,9.0,72.76,125.17,-131.42203486,182.43355010000005,X,field_out,fly_ball,Pull,False,0
2023,2023-09-03,716736,2,4,L,R,FF,4.0,122.84,70.78,-6.438831179999997,318.17309579000005,X,field_out,fly_ball,Straightaway,False,1
2023,2023-09-02,716745,63,5,L,R,CH,9.0,119.82,190.31,-13.975757600000023,19.86554116000002,X,force_out,ground_ball,Pull,False,0
2023,2023-09-02,716745,2,1,R,R,SI,9.0,126.8,75.86,3.444025979999989,305.49508711000004,X,single,line_drive,Straightaway,False,1
2023,2023-09-02,716745,47,1,R,R,FF,4.0,216.85,79.18,228.17919953,297.20945939,X,home_run,fly_ball,Oppo,False,2
2023,2023-09-01,716765,2,3,R,R,FF,4.0,112.92,69.49,-31.1958875,321.3925113800001,X,field_out,fly_ball,Straightaway,False,1
