venue,park_era,plate_apps,pitches_per_pa,ba,obp,slg,ops,woba,xwoba,hard_hit_rate,barrel_rate,ev90,krate,bbrate,hr_rate,chase_rate,whiff_rate,bips
All other MLB parks,2015-2019 (pre-reconfig),6224,4.03,0.281,0.36,0.518,0.878,0.371,0.42,0.423,0.099,106.5,0.216,0.105,0.049,0.265,0.252,4136
All other MLB parks,2020-2026 (post-reconfig),16467,3.928,0.263,0.33,0.446,0.776,0.336,0.363,0.442,0.091,105.4,0.224,0.084,0.037,0.296,0.257,11179
loanDepot park,2015-2019 (pre-reconfig),1046,3.916,0.246,0.304,0.389,0.693,0.3,0.349,0.374,0.066,103.2,0.196,0.073,0.028,0.279,0.214,754
loanDepot park,2020-2026 (post-reconfig),855,3.943,0.254,0.313,0.439,0.752,0.324,0.375,0.449,0.108,105.08,0.207,0.076,0.036,0.317,0.24,604
