check,got,want,pass
PB-1 swing_path_tilt peer-netted delta,-1.202385940346172,-1.2024,True
PB-1 attack_angle cohort size,8,8,True
PB-1 attack_angle subject delta,0.7300927156196488,0.7301,True
PB-1 attack_angle peer median delta,0.5171788304526519,0.5172,True
PB-1 attack_angle peer-netted delta,0.21291388516699694,0.2129,True
PB-1 bat_speed cohort size,8,8,True
PB-1 bat_speed subject delta,0.660902288187998,0.6609,True
PB-1 bat_speed peer median delta,0.17040373341396986,0.1704,True
PB-1 bat_speed peer-netted delta,0.49049855477402815,0.4905,True
PB-1 intercept_side_in cohort size,8,8,True
PB-1 intercept_side_in subject delta,1.346213456141406,1.3462,True
PB-1 intercept_side_in peer median delta,0.17631163485014412,0.1763,True
PB-1 intercept_side_in peer-netted delta,1.169901821291262,1.1699,True
PB-1 intercept_depth_in cohort size,8,8,True
PB-1 intercept_depth_in subject delta,0.705943831842049,0.7059,True
PB-1 intercept_depth_in peer median delta,0.7053834867691489,0.7054,True
PB-1 intercept_depth_in peer-netted delta,0.000560345072900148,0.0006,True
report claim: tilt drop is the largest in the cohort,1,1,True
report claim: contact-side increase is the largest in the cohort,8,8,True
"report claim: bat speed went UP, not down",True,True,True
report claim: attack angle change is small once peer-netted,True,True,True
O-16: the peer median tilt delta is itself materially negative,True,True,True
"pool size (200+ tracked swings, 2026)",11,11,True
pool: Turner tilt,25.508302218415267,25.5083,True
report claim: Turner has the flattest plane in the pool,25.508302218415267,25.508302218415267,True
report claim: tilt percentile is 0,0.0,0.0,True
pool: contact-side percentile,72.72727272727273,72.7273,True
breaking pool 2025: qualifiers,12,12,True
breaking pool 2025: median,0.03822276323797931,0.0382,True
breaking pool 2025: subject rate,0.03870967741935484,0.0387,True
breaking pool 2025: subject rank,6,6,True
breaking pool 2026: qualifiers,10,10,True
breaking pool 2026: median,0.07484472049689442,0.0748,True
breaking pool 2026: subject rate,0.12080536912751678,0.1208,True
breaking pool 2026: subject rank,1,1,True
report claim: 2026 subject is rank 1 of the breaking-ball popup pool,1,1,True
report claim: 2025 subject sat at the peer median,True,True,True
report claim: the peer median itself roughly doubled,True,True,True
PU-1 2026 popup=False n,374,374,True
PU-1 2026 popup=False attack_angle,6.886563588279224,6.8866,True
PU-1 2026 popup=False tilt,25.231495846325068,25.2315,True
PU-1 2026 popup=False side,39.51889170922648,39.5189,True
PU-1 2026 popup=False depth,27.01263447244538,27.0126,True
PU-1 2026 popup=False bat_speed,71.53048128342246,71.5305,True
PU-1 2026 popup=True n,26,26,True
PU-1 2026 popup=True attack_angle,10.729438072871677,10.7294,True
PU-1 2026 popup=True tilt,23.42090741460225,23.4209,True
PU-1 2026 popup=True side,37.2259282892688,37.2259,True
PU-1 2026 popup=True depth,31.70776450383893,31.7078,True
PU-1 2026 popup=True bat_speed,71.2,71.2,True
report claim: popups come with a STEEPER attack angle,True,True,True
report claim: popups are met CLOSER to the body,True,True,True
report claim: popups are met FURTHER out front,True,True,True
report claim: popups are NOT a bat-speed story,True,True,True
report discloses inverted attack_direction convention,True,True,True
report discloses team-wide tilt drift,True,True,True
report discloses hyper_speed identity,True,True,True
report discloses bunt / degenerate swing exclusion,True,True,True
report discloses flattest plane,True,True,True
report discloses breaking popup rate,True,True,True
report discloses the O-16 control,True,True,True
report discloses causation limit,True,True,True
report discloses sensor boundary,True,True,True
report does not claim a bat-speed collapse on popups,True,True,True
report carries the ungoverned-population correction note,True,True,True
