check,got,want,pass
scan 2026-07-01 pre_pa,371,371,True
scan 2026-07-01 post_pa,231,231,True
scan 2026-07-01 d_ops,0.06369641918774871,0.0637,True
scan 2026-07-01 d_woba,0.0234124575178718,0.0234,True
scan 2026-07-08 pre_pa,398,398,True
scan 2026-07-08 post_pa,204,204,True
scan 2026-07-08 d_ops,0.05178525159494818,0.0518,True
scan 2026-07-08 d_woba,0.0194452558358294,0.0194,True
scan 2026-07-16 pre_pa,415,415,True
scan 2026-07-16 post_pa,187,187,True
scan 2026-07-16 d_ops,0.09443021038185595,0.0944,True
scan 2026-07-16 d_woba,0.03606341495012311,0.0361,True
scan 2026-07-21 pre_pa,433,433,True
scan 2026-07-21 post_pa,169,169,True
scan 2026-07-21 d_ops,-0.08243540398319882,-0.0824,True
scan 2026-07-21 d_woba,-0.03288363301440672,-0.0329,True
scan 2026-08-01 pre_pa,473,473,True
scan 2026-08-01 post_pa,129,129,True
scan 2026-08-01 d_ops,-0.14332397754611081,-0.1433,True
scan 2026-08-01 d_woba,-0.055284834170190256,-0.0553,True
scan 2026-08-08 pre_pa,505,505,True
scan 2026-08-08 post_pa,97,97,True
scan 2026-08-08 d_ops,-0.17483558494127593,-0.1748,True
scan 2026-08-08 d_woba,-0.06711965759075911,-0.0671,True
scan 2026-08-15 pre_pa,529,529,True
scan 2026-08-15 post_pa,73,73,True
scan 2026-08-15 d_ops,-0.2223503883635063,-0.2224,True
scan 2026-08-15 d_woba,-0.08743176328502414,-0.0874,True
scan 2026-08-22 pre_pa,552,552,True
scan 2026-08-22 post_pa,50,50,True
scan 2026-08-22 d_ops,-0.2803509902240703,-0.2804,True
scan 2026-08-22 d_woba,-0.11180268602540844,-0.1118,True
report §3 claim: sign flips at 2026-07-21 (first negative cut),2026-07-21,2026-07-21,True
report §3 claim: all cuts before 07-21 positive,True,True,True
report §3 claim: all cuts from 07-21 negative,True,True,True
report §3 claim: monotone worsening from 07-21,True,True,True
parent repro: all checks pass,0,0,True
parent repro: check count,84,84,True
parent repro: zero definitional drift on 2026,0.0,0.0,True
parent's July PA (as of 07-20),62,62,True
parent's July BA,0.30357142857142855,0.304,True
parent's July SLG,0.625,0.625,True
parent's July OBP (parent definition: /PA),0.3548387096774194,0.355,True
parent's July OPS (parent definition),0.9798387096774194,0.98,True
RF-2 peak wOBA,0.4214,0.4212,True
RF-2 peak date,2026-07-21,2026-07-21,True
RF-2 last wOBA,0.2377,0.2385,True
RF-2 peak-to-now drop (report §3: 183 pts),184,183,True
RF-1 2023 final cum_woba == season woba,0.3332,0.333243831640058,True
RF-1 2023 final cum_pa == season PA,689,689,True
RF-1 2024 final cum_woba == season woba,0.3478,0.3478170055452865,True
RF-1 2024 final cum_pa == season PA,541,541,True
RF-1 2025 final cum_woba == season woba,0.3498,0.34979563182527307,True
RF-1 2025 final cum_pa == season PA,641,641,True
RF-1 2026 final cum_woba == season woba,0.2942,0.29422129783693846,True
RF-1 2026 final cum_pa == season PA,602,602,True
RF-1 2026 never reaches 2023-25 band after PA 100,True,True,True
AD-1 2021,0.4594705769738238,0.4595,True
AD-1 2023,0.3887457392823533,0.3887,True
AD-1 2024,0.40837595392755327,0.4084,True
AD-1 2025,0.4176548936058504,0.4177,True
AD-1 2026,0.3450884040617663,0.3451,True
AD-1 2026 rank among 11 qualified (2 = 2nd lowest),2,2,True
ST-1 popup z vs PHI norm,4.1195,4.119,True
ST-1 popup is the only measure clearing |z|>=2.5 vs the PHI norm,1,1,True
ST-1 bat speed vs PHI norm is within noise,True,True,True
pool: hitter-seasons,220,220,True
pool: distinct players,100,100,True
pool: none below the 50-PA floor,0,0,True
pctile ops season recomputed,35.45454545454545,35.4545,True
pctile woba season recomputed,38.18181818181819,38.1818,True
pctile slg season recomputed,39.09090909090909,39.0909,True
pctile iso season recomputed,42.72727272727273,42.7273,True
report §4: W3 popup rate percentile,97.7273,97.727,True
report §4: W3 popup would be 5th-highest of the 220 pool seasons,5,5,True
D-7/O-13 exposure: 2026 published minus corrected in_zone_rate,0.0009,0.0009,True
G8 cohort: 11 qualified seasons,11,11,True
G8: 2026 is the lowest qualified season in ba,1,1,True
G8: 2026 is the lowest qualified season in obp,1,1,True
G8: 2026 is the lowest qualified season in slg,1,1,True
G8: 2026 is the lowest qualified season in ops,1,1,True
G8: 2026 is the lowest qualified season in iso,1,1,True
G8: 2026 is the lowest qualified season in woba,1,1,True
G8: 2026 is the lowest qualified season in babip,1,1,True
G8: 2026 vs RHP is the lowest qualified RHP season,1,1,True
G8: 2026 vs LHP is the lowest qualified LHP season (by <0.0003),1,1,True
report §1: 2023 and 2026 K% within 0.001,True,True,True
report §2: August is the best K% month above the 50-PA floor,8,8,True
report §6: breaking usage rises across the three windows,True,True,True
report §6: W3 fastball slg,0.2308,0.231,True
PL-1: |mix effect| on wOBA into W3 < 0.003,True,True,True
report mentions W3 slash (.207/.279/.276),True,True,True
report mentions season slash (.239/.292/.376),True,True,True
report mentions vs LHP OPS (.630),True,True,True
report mentions vs RHP OPS (.686),True,True,True
report mentions W3 popup rate (15.2%),True,True,True
report mentions popup z (4.12),True,True,True
report mentions popup percentile (97.7th percentile),True,True,True
report mentions parent repro count (84),True,True,True
report mentions peak/flip date (2026-07-21),True,True,True
report mentions RF-2 peak (.421),True,True,True
report mentions RF-2 now (.238),True,True,True
report mentions AD-1 2026 (.345),True,True,True
report mentions new defect disclosure (D-7 / O-13),True,True,True
report mentions popup pool rank (fifth-highest),True,True,True
report mentions D-7-corrected zone rate (44.8%),True,True,True
"report carries no un-cohorted ""career worst""",True,True,True
report discloses the 50-PA floor,True,True,True
report discloses causation limit,True,True,True
