game_year,batter,plate_apps,pitches,at_bats,hits,walks,unint_walks,hbp,strikeouts,sf,singles,doubles,triples,hrs,bip,ba,obp,slg,ops,iso,krate,bbrate,babip,woba,whiff_rate,chase_rate,swing_rate,swing_rate_in_zone,whiff_rate_in_zone,hard_hit_rate,barrel_rate,pull_air_rate,mean_ev,mean_la,pu_rate,gb_rate
2016,476451,66,265,54,9,4,4,0,24,0,8,1,0,0,38,0.1667,0.2241,0.1852,0.4093,0.0185,0.3636,0.0606,0.3,0.1902,0.2069,0.2909,0.4377,0.5419,0.1429,0.0263,0.0,0.0263,78.1871,-10.2258,0.0263,0.7895
2016,488721,383,1332,355,89,17,15,4,91,1,57,20,7,5,271,0.2507,0.2918,0.3887,0.6805,0.138,0.2376,0.0444,0.3231,0.2912,0.2853,0.356,0.542,0.7344,0.1975,0.3284,0.0258,0.1439,87.5329,7.8101,0.0775,0.5314
2016,502034,50,175,45,5,2,2,2,10,0,3,1,1,0,36,0.1111,0.1837,0.1778,0.3615,0.0667,0.2,0.04,0.1429,0.1688,0.266,0.3299,0.5371,0.7949,0.1935,0.2222,0.0,0.0556,83.2389,5.6389,0.0,0.5556
2016,514917,622,2427,547,161,66,62,2,116,2,130,14,11,6,438,0.2943,0.3712,0.3931,0.7642,0.0987,0.1865,0.1061,0.363,0.3347,0.2016,0.2365,0.4516,0.6759,0.1333,0.2922,0.0183,0.0959,86.4581,4.3995,0.0365,0.5845
2016,517370,150,555,143,31,5,5,0,44,1,20,7,0,4,101,0.2168,0.2416,0.3497,0.5913,0.1329,0.2933,0.0333,0.2812,0.2535,0.3406,0.4686,0.5766,0.7215,0.2339,0.3663,0.099,0.1386,89.8296,6.6327,0.0396,0.5545
2016,518953,79,290,67,16,9,8,2,8,1,12,3,1,0,60,0.2388,0.3418,0.3134,0.6552,0.0746,0.1013,0.1139,0.2667,0.2923,0.1654,0.3313,0.4586,0.629,0.0769,0.2333,0.0,0.2,84.8155,13.5862,0.1167,0.4333
2016,519237,419,1583,389,98,24,24,5,114,1,55,26,1,16,276,0.2519,0.3031,0.4473,0.7504,0.1954,0.2721,0.0573,0.3154,0.3212,0.303,0.2875,0.4795,0.6756,0.2439,0.471,0.0906,0.1159,91.3201,9.0256,0.0507,0.4891
2016,520471,624,2365,584,141,25,19,3,136,4,92,26,3,20,460,0.2414,0.2744,0.399,0.6733,0.1575,0.2179,0.0401,0.2801,0.2842,0.2102,0.391,0.529,0.6831,0.1481,0.2761,0.0283,0.2348,87.0123,13.7591,0.0674,0.4283
2016,546318,656,2643,583,167,63,56,6,134,2,125,21,6,15,453,0.2864,0.3609,0.4202,0.7811,0.1338,0.2043,0.096,0.3486,0.3377,0.2353,0.3441,0.4888,0.6857,0.1471,0.3091,0.0419,0.1082,87.1247,9.8254,0.0574,0.4812
2016,571437,227,929,198,39,23,21,6,69,0,29,6,0,4,129,0.197,0.2996,0.2879,0.5874,0.0909,0.304,0.1013,0.28,0.2658,0.2886,0.2781,0.4327,0.6045,0.1917,0.3488,0.031,0.1473,88.2469,5.5,0.0543,0.5271
2016,571830,347,1322,315,81,22,22,4,75,6,45,15,0,21,246,0.2571,0.3084,0.5048,0.8131,0.2476,0.2161,0.0634,0.2667,0.3416,0.2313,0.3366,0.5068,0.7042,0.1601,0.4187,0.1179,0.2154,89.9176,16.8279,0.1057,0.374
2016,573131,89,351,83,17,4,4,0,25,1,12,2,0,3,60,0.2048,0.2386,0.3373,0.576,0.1325,0.2809,0.0449,0.25,0.2481,0.2651,0.3235,0.4729,0.6133,0.1712,0.4,0.0833,0.1667,89.2136,15.1525,0.1333,0.4167
2016,595191,62,186,61,8,1,1,0,12,0,5,3,0,0,49,0.1311,0.1452,0.1803,0.3255,0.0492,0.1935,0.0161,0.1633,0.142,0.211,0.4124,0.586,0.7753,0.1014,0.2653,0.0,0.1429,86.7531,6.4898,0.0612,0.5714
2016,595963,234,904,213,41,17,17,2,52,1,31,3,3,4,163,0.1925,0.2575,0.2911,0.5486,0.0986,0.2222,0.0726,0.2342,0.2442,0.2518,0.266,0.4569,0.6232,0.206,0.3006,0.0184,0.0859,87.3075,6.1887,0.0613,0.546
2016,596451,69,268,57,15,8,8,2,19,0,11,4,0,0,40,0.2632,0.3731,0.3333,0.7065,0.0702,0.2754,0.1159,0.3947,0.3223,0.314,0.2105,0.4515,0.6889,0.2581,0.175,0.025,0.075,84.2342,2.3947,0.0,0.625
