window,pitch_group,swings,tracked_swings,attack_angle,attack_angle_med,attack_direction,swing_path_tilt,swing_path_tilt_med,intercept_side_in,intercept_depth_in,bat_speed,swing_length,ideal_aa_swings,tracking_coverage,ideal_aa_rate,pull_direction,below_swing_floor,bip,popups,pu_rate
W1_early (Mar 26-Jun 30),breaking,245,236,11.5393,12.4007,-14.3688,25.5548,25.4652,41.358,36.6043,69.3089,7.9225,165,0.9633,0.6992,14.3688,False,83,7,0.0843
W1_early (Mar 26-Jun 30),fastball,400,380,6.0835,7.0041,5.7917,25.2098,24.8827,38.0134,23.9984,70.3584,7.2329,220,0.95,0.5789,-5.7917,False,157,5,0.0318
W1_early (Mar 26-Jun 30),offspeed,82,82,12.2898,12.2938,-14.6802,27.8302,28.025,38.8982,35.9236,71.4024,8.0537,58,1.0,0.7073,14.6802,False,23,1,0.0435
W2_july (Jul 1-31),breaking,67,65,9.9004,11.4444,-9.6492,25.3174,25.4493,40.4808,33.0882,70.5092,7.8092,42,0.9701,0.6462,9.6492,False,22,1,0.0455
W2_july (Jul 1-31),fastball,101,101,4.0749,4.2926,9.5857,25.0737,24.7092,38.5576,21.5509,71.0059,7.1564,46,1.0,0.4554,-9.5857,False,37,1,0.027
W2_july (Jul 1-31),offspeed,29,28,9.2583,7.9282,-9.5626,27.1999,27.0787,37.6422,32.6738,71.0571,7.7786,19,0.9655,0.6786,9.5626,False,14,1,0.0714
W3_recent (Aug 1-Sep 2),breaking,99,89,11.6751,12.5041,-15.7118,25.8654,25.8577,40.483,36.7702,70.0742,7.9236,64,0.899,0.7191,15.7118,False,44,10,0.2273
W3_recent (Aug 1-Sep 2),fastball,108,102,5.0411,5.7692,9.2916,24.2804,24.7339,38.1083,22.0801,69.1657,7.0324,52,0.9444,0.5098,-9.2916,False,42,4,0.0952
W3_recent (Aug 1-Sep 2),offspeed,17,17,,,,,,,,,,13,1.0,,,True,6,0,0.0
