window,stand,pitches,plate_apps,bip,hits,hrs,walks,strikeouts,ba,obp,slg,ops,woba,krate,bbrate,hr_rate,xwoba,chase_rate,in_zone_rate,whiff_rate
2025,L,655,173,98,34,2.0,7,68,0.205,0.237,0.277,0.514,0.227,0.393,0.04,0.012,0.218,0.392,0.521,0.395
2025,R,2358,586,384,133,14.0,50,148,0.25,0.317,0.38,0.698,0.307,0.253,0.085,0.024,0.314,0.281,0.501,0.281
2026 H1,L,416,112,69,19,1.0,6,36,0.183,0.232,0.221,0.453,0.209,0.321,0.054,0.009,0.212,0.363,0.464,0.359
2026 H1,R,1420,353,216,82,8.0,29,100,0.26,0.331,0.397,0.728,0.323,0.283,0.082,0.023,0.287,0.324,0.469,0.315
2026 H2,L,206,51,27,3,0.0,3,21,0.065,0.118,0.087,0.205,0.101,0.412,0.059,0.0,0.139,0.382,0.466,0.313
2026 H2,R,610,157,96,31,5.0,12,46,0.218,0.287,0.394,0.681,0.299,0.293,0.076,0.032,0.287,0.324,0.454,0.306
