game_year,game_pk,pitcher,half,n_heart,n_edge_in,n_edge_out,n_beyond,located_pitches,swings_beyond,swings_edge_out,shadow_zone_rate,shadow_miss_rate,geo_zone_rate,edge_rate_twin,beyond_shadow_chase_rate,edge_out_chase_rate,beyond_miss_depth_ft,is_subject
2025,776456,650911,2H,30,17,17,18,82,3.0,7.0,0.7805,0.2195,0.5732,0.4146,0.1667,0.4118,0.46,True
2025,776459,624133,2H,23,25,18,23,89,5.0,6.0,0.7416,0.2584,0.5393,0.4831,0.2174,0.3333,0.5099,False
2025,776459,642547,2H,26,13,15,38,92,8.0,10.0,0.587,0.413,0.4239,0.3043,0.2105,0.6667,0.6466,False
2025,776471,500779,2H,18,25,13,41,97,11.0,5.0,0.5773,0.4227,0.4433,0.3918,0.2683,0.3846,0.65,False
2025,776471,605400,2H,21,22,18,34,95,8.0,8.0,0.6421,0.3579,0.4526,0.4211,0.2353,0.4444,0.495,False
2025,776500,592836,2H,21,18,15,31,85,8.0,4.0,0.6353,0.3647,0.4588,0.3882,0.2581,0.2667,0.56,False
2025,776500,694819,2H,25,17,12,19,73,1.0,7.0,0.7397,0.2603,0.5753,0.3973,0.0526,0.5833,0.6627,False
2025,776522,666200,2H,35,17,17,35,104,10.0,9.0,0.6635,0.3365,0.5,0.3269,0.2857,0.5294,0.7749,False
2025,776522,694462,2H,29,15,13,45,102,13.0,5.0,0.5588,0.4412,0.4314,0.2745,0.2889,0.3846,0.6573,False
2025,776532,519242,2H,27,10,12,29,78,7.0,3.0,0.6282,0.3718,0.4744,0.2821,0.2414,0.25,0.5571,False
2025,776532,650911,2H,26,29,12,30,97,10.0,7.0,0.6907,0.3093,0.567,0.4227,0.3333,0.5833,0.631,True
2025,776552,624133,2H,22,21,14,35,92,5.0,7.0,0.6196,0.3804,0.4674,0.3804,0.1429,0.5,0.6576,False
2025,776552,693821,2H,27,10,15,44,96,13.0,7.0,0.5417,0.4583,0.3854,0.2604,0.2955,0.4667,0.5672,False
2025,776560,605400,2H,21,18,24,32,95,5.0,12.0,0.6632,0.3368,0.4105,0.4421,0.1562,0.5,0.4613,False
2025,776560,615698,2H,14,10,12,17,53,4.0,8.0,0.6792,0.3208,0.4528,0.4151,0.2353,0.6667,0.58,False
2025,776566,592836,2H,35,25,13,29,102,1.0,4.0,0.7157,0.2843,0.5882,0.3725,0.0345,0.3077,0.6653,False
2025,776566,690997,2H,24,27,10,34,95,12.0,4.0,0.6421,0.3579,0.5368,0.3895,0.3529,0.4,0.5461,False
2025,776585,640455,2H,23,17,17,33,90,13.0,12.0,0.6333,0.3667,0.4444,0.3778,0.3939,0.7059,0.53,False
2025,776585,666200,2H,25,21,11,30,87,5.0,4.0,0.6552,0.3448,0.5287,0.3678,0.1667,0.3636,0.6731,False
2025,776598,650911,2H,28,14,19,32,93,5.0,7.0,0.6559,0.3441,0.4516,0.3548,0.1562,0.3684,0.48,True
2025,776598,673540,2H,28,13,14,38,93,10.0,9.0,0.5914,0.4086,0.4409,0.2903,0.2632,0.6429,0.5953,False
2025,776613,624133,2H,25,22,12,31,90,10.0,8.0,0.6556,0.3444,0.5222,0.3778,0.3226,0.6667,0.61,False
2025,776613,663623,2H,15,14,15,25,69,6.0,4.0,0.6377,0.3623,0.4203,0.4203,0.24,0.2667,0.59,False
2025,776628,605400,2H,26,14,24,33,97,12.0,12.0,0.6598,0.3402,0.4124,0.3918,0.3636,0.5,0.58,False
2025,776628,680730,2H,29,18,11,45,103,14.0,7.0,0.5631,0.4369,0.4563,0.2816,0.3111,0.6364,0.49,False
2025,776648,592836,2H,19,15,10,35,79,11.0,4.0,0.557,0.443,0.4304,0.3165,0.3143,0.4,0.43,False
