season,pitches,plate_apps,bip,hits,hrs,walks,strikeouts,ba,obp,slg,ops,woba,krate,bbrate,hr_rate,xwoba,xwobacon,chases,ooz,chase_rate,in_zone_rate,swings,whiffs,whiff_rate,fpsr,edge_pitches,edge_rate,n_heart,n_edge_in,n_edge_out,n_beyond,located_pitches,swings_beyond,swings_edge_out,shadow_zone_rate,shadow_miss_rate,geo_zone_rate,edge_rate_twin,beyond_shadow_chase_rate,edge_out_chase_rate,beyond_miss_depth_ft,pitch_share_ahead,pitch_share_even,pitch_share_behind,two_strike_pa_share,three_ball_pa_share,hbp,bb_hbp_rate,zone_swing_rate
2021-22,873,236,160,54,6,23,48,0.261,0.343,0.411,0.754,0.332,0.203,0.097,0.025,0.3343962264150943,0.3343962264150943,133,455,0.292,0.479,403,81,0.20099255583126552,0.576271186440678,296,0.339,231,155,141,346,873,85,65,0.6037,0.3963,0.4422,0.3391,0.2457,0.461,0.685,0.2749,0.4341,0.291,0.4958,0.1907,4,0.11440677966101695,0.645933014354067
2023,1460,396,281,88,16,16,96,0.235,0.27,0.421,0.692,0.295,0.242,0.04,0.04,0.3716049822064057,0.3716049822064057,250,719,0.348,0.508,704,186,0.26420454545454547,0.6649874055415617,515,0.353,386,294,221,559,1460,186,98,0.6171,0.3829,0.4658,0.3527,0.3327,0.4434,0.6307,0.3158,0.4603,0.224,0.5164,0.1486,3,0.047979797979797977,0.6126855600539811
2024,2797,755,557,182,11,44,153,0.257,0.299,0.358,0.657,0.288,0.203,0.058,0.015,0.29388368533333337,0.34374502712477395,513,1408,0.364,0.497,1442,351,0.2434119278779473,0.6578249336870027,989,0.354,765,526,463,1043,2797,304,270,0.6271,0.3729,0.4616,0.3536,0.2915,0.5832,0.56,0.3289,0.4326,0.2385,0.5311,0.155,0,0.05827814569536424,0.6688264938804895
2025,2896,809,545,171,12,44,212,0.226,0.273,0.32,0.593,0.263,0.262,0.054,0.015,0.2785198827930175,0.34928333333333333,440,1393,0.316,0.519,1433,436,0.30425680390788556,0.6534653465346535,1057,0.365,841,575,482,997,2895,258,236,0.6556,0.3444,0.4891,0.3651,0.2588,0.4896,0.61,0.3115,0.4606,0.2279,0.4858,0.1397,6,0.06180469715698393,0.6606786427145709
2026,2960,805,539,193,17,44,215,0.257,0.302,0.372,0.674,0.298,0.267,0.055,0.021,0.2859297841907152,0.3623157894736842,573,1583,0.362,0.465,1487,471,0.31674512441156694,0.6496894409937888,1061,0.358,693,565,496,1206,2960,369,271,0.5926,0.4074,0.425,0.3584,0.306,0.5464,0.6141,0.3132,0.4419,0.2449,0.523,0.1652,6,0.062111801242236024,0.663761801016703
