game_date,pitches,plate_apps,bip,hits,hrs,walks,strikeouts,ba,obp,slg,ops,woba,krate,bbrate,hr_rate,xwoba,xwobacon,chases,ooz,chase_rate,in_zone_rate,swings,whiffs,whiff_rate,fpsr,edge_pitches,edge_rate,n_heart,n_edge_in,n_edge_out,n_beyond,located_pitches,swings_beyond,swings_edge_out,shadow_zone_rate,shadow_miss_rate,geo_zone_rate,edge_rate_twin,beyond_shadow_chase_rate,edge_out_chase_rate,beyond_miss_depth_ft,pitch_share_ahead,pitch_share_even,pitch_share_behind,two_strike_pa_share,three_ball_pa_share,hbp,bb_hbp_rate,zone_swing_rate,opponent,half
2026-05-27,100,27,18,6,0.0,0.0,9,0.222,0.222,0.296,0.519,0.225,0.333,0.0,0.0,0.2842962962962963,0.42644444444444446,16,46,0.348,0.54,50,18,0.36,0.48148148148148145,48,0.48,22,20,28,30,100,9,11,0.7,0.3,0.42,0.48,0.3,0.3929,0.5582,0.25,0.43,0.32,0.4815,0.1481,0,0.0,0.6296296296296297,SD,1H
2026-06-03,84,26,17,4,0.0,1.0,8,0.16,0.192,0.2,0.392,0.178,0.308,0.038,0.0,0.20855224,0.282125,18,39,0.462,0.536,47,15,0.3191489361702128,0.7307692307692307,27,0.321,23,15,12,34,84,15,7,0.5952,0.4048,0.4524,0.3214,0.4412,0.5833,0.5462,0.4405,0.4167,0.1429,0.5769,0.0385,0,0.038461538461538464,0.6444444444444445,SD,1H
2026-06-08,107,26,15,4,1.0,1.0,10,0.16,0.192,0.36,0.552,0.237,0.385,0.038,0.038,0.2196463846153846,0.3340666666666667,30,63,0.476,0.411,59,17,0.288135593220339,0.5384615384615384,40,0.374,19,23,17,48,107,18,14,0.5514,0.4486,0.3925,0.3738,0.375,0.8235,0.6749,0.3084,0.4112,0.2804,0.5385,0.1538,0,0.038461538461538464,0.6590909090909091,TOR,1H
2026-06-14,98,25,21,8,2.0,1.0,3,0.333,0.36,0.667,1.027,0.435,0.12,0.04,0.08,0.37771224000000003,0.41633333333333333,24,61,0.393,0.378,51,9,0.17647058823529413,0.48,37,0.378,19,15,22,42,98,12,15,0.5714,0.4286,0.3469,0.3776,0.2857,0.6818,0.5439,0.3061,0.4286,0.2653,0.48,0.16,0,0.04,0.7297297297297297,MIL,1H
2026-06-20,91,24,18,5,1.0,1.0,5,0.217,0.25,0.348,0.598,0.263,0.208,0.042,0.042,0.2655335833333333,0.31516666666666665,16,46,0.348,0.495,44,10,0.22727272727272727,0.7916666666666666,32,0.352,25,16,16,34,91,8,11,0.6264,0.3736,0.4505,0.3516,0.2353,0.6875,0.5899,0.3297,0.4176,0.2527,0.5,0.2083,0,0.041666666666666664,0.6222222222222222,NYM,1H
2026-06-25,92,25,17,7,1.0,1.0,6,0.304,0.36,0.435,0.795,0.353,0.24,0.04,0.04,0.29970312,0.35658823529411765,16,45,0.356,0.511,51,17,0.3333333333333333,0.6,39,0.424,18,24,15,35,92,11,8,0.6196,0.3804,0.4565,0.4239,0.3143,0.5333,0.5683,0.3043,0.4565,0.2391,0.56,0.12,1,0.08,0.7446808510638298,WSH,1H
2026-06-30,92,26,15,3,0.0,2.0,9,0.125,0.192,0.167,0.359,0.171,0.346,0.077,0.0,0.17161830769230768,0.2042,22,48,0.458,0.478,56,23,0.4107142857142857,0.7307692307692307,34,0.37,24,19,15,34,92,14,9,0.6304,0.3696,0.4674,0.3696,0.4118,0.6,0.6222,0.3696,0.4565,0.1739,0.5385,0.1154,0,0.07692307692307693,0.7727272727272727,PIT,1H
2026-07-06,83,21,19,12,3.0,1.0,1,0.6,0.619,1.15,1.769,0.743,0.048,0.048,0.143,0.549742619047619,0.5707894736842105,18,48,0.375,0.422,44,15,0.3409090909090909,0.42857142857142855,24,0.289,20,13,11,39,83,14,4,0.5301,0.4699,0.3976,0.2892,0.359,0.3636,0.6129,0.2289,0.4699,0.3012,0.5238,0.1429,0,0.047619047619047616,0.7428571428571429,KC,1H
2026-07-11,103,29,21,10,1.0,1.0,7,0.357,0.379,0.464,0.844,0.371,0.241,0.034,0.034,0.2879271724137931,0.36433333333333334,23,54,0.426,0.476,56,16,0.2857142857142857,0.6896551724137931,27,0.262,34,11,16,42,103,13,12,0.5922,0.4078,0.4369,0.2621,0.3095,0.75,0.6738,0.4175,0.3981,0.1845,0.5862,0.1034,0,0.034482758620689655,0.673469387755102,DET,1H
2026-07-20,99,25,16,7,0.0,0.0,7,0.304,0.36,0.304,0.664,0.308,0.28,0.0,0.0,0.35017975999999995,0.456,24,60,0.4,0.394,50,20,0.4,0.64,31,0.313,19,16,15,49,99,17,9,0.5051,0.4949,0.3535,0.3131,0.3469,0.6,0.595,0.3636,0.4141,0.2222,0.6,0.2,2,0.08,0.6666666666666666,LAD,2H
2026-07-26,101,28,19,6,0.0,3.0,6,0.24,0.321,0.32,0.641,0.292,0.214,0.107,0.0,0.33233739285714287,0.3795263157894737,15,50,0.3,0.505,48,17,0.3541666666666667,0.7142857142857143,40,0.396,21,24,16,40,101,12,7,0.604,0.396,0.4455,0.396,0.3,0.4375,0.7362,0.3564,0.3861,0.2574,0.5357,0.1429,0,0.10714285714285714,0.6470588235294118,NYY,2H
2026-08-01,99,25,9,2,0.0,5.0,11,0.1,0.28,0.1,0.38,0.211,0.44,0.2,0.0,0.25952379999999997,0.33322222222222225,22,66,0.333,0.333,38,16,0.42105263157894735,0.44,31,0.313,16,15,16,52,99,13,9,0.4747,0.5253,0.3131,0.3131,0.25,0.5625,0.7033,0.1313,0.4242,0.4444,0.52,0.4,0,0.2,0.48484848484848486,BAL,2H
2026-08-06,98,23,14,6,1.0,2.0,6,0.3,0.391,0.5,0.891,0.391,0.261,0.087,0.043,0.3116337826086956,0.3602142857142857,9,53,0.17,0.459,40,12,0.3,0.5217391304347826,29,0.296,28,14,15,41,98,6,4,0.5816,0.4184,0.4286,0.2959,0.1463,0.2667,0.6085,0.2551,0.4082,0.3367,0.4783,0.2609,1,0.13043478260869565,0.6888888888888889,WSH,2H
2026-08-11,89,20,13,4,0.0,0.0,7,0.2,0.2,0.2,0.4,0.178,0.35,0.0,0.0,0.2198,0.33815384615384614,22,55,0.4,0.382,40,15,0.375,0.55,38,0.427,10,21,17,41,89,12,11,0.5393,0.4607,0.3483,0.427,0.2927,0.6471,0.6905,0.2472,0.4719,0.2809,0.65,0.15,0,0.0,0.5294117647058824,STL,2H
2026-08-17,90,27,18,8,0.0,3.0,6,0.333,0.407,0.375,0.782,0.355,0.222,0.111,0.0,0.3245983461538462,0.37335294117647055,12,46,0.261,0.489,40,11,0.275,0.6666666666666666,28,0.311,23,19,9,39,90,8,4,0.5667,0.4333,0.4667,0.3111,0.2051,0.4444,0.6424,0.2333,0.4667,0.3,0.4074,0.1852,0,0.1111111111111111,0.6363636363636364,MIA,2H
2026-08-23,103,28,21,9,1.0,0.0,7,0.321,0.321,0.429,0.75,0.328,0.25,0.0,0.036,0.2817142857142857,0.37561904761904763,13,45,0.289,0.563,59,19,0.3220338983050847,0.7142857142857143,43,0.417,26,28,15,34,103,9,8,0.6699,0.3301,0.5243,0.4175,0.2647,0.5333,0.6683,0.3689,0.4563,0.1748,0.6429,0.1429,0,0.0,0.7931034482758621,STL,2H
2026-08-29,91,25,15,2,0.0,1.0,8,0.087,0.12,0.087,0.207,0.099,0.32,0.04,0.0,0.1670003043478261,0.22449999999999998,20,48,0.417,0.473,48,16,0.3333333333333333,0.76,33,0.363,21,20,13,37,91,13,9,0.5934,0.4066,0.4505,0.3626,0.3514,0.6923,0.6674,0.3956,0.4286,0.1758,0.48,0.12,0,0.04,0.6511627906976745,LAA,2H
2026-09-04,108,26,18,5,0.0,3.0,5,0.217,0.308,0.304,0.612,0.28,0.192,0.115,0.0,0.2339616153846154,0.22155555555555556,21,61,0.344,0.435,56,12,0.21428571428571427,0.5769230769230769,34,0.315,26,18,16,48,108,13,9,0.5556,0.4444,0.4074,0.3148,0.2708,0.5625,0.5622,0.25,0.5185,0.2315,0.6538,0.1538,0,0.11538461538461539,0.7446808510638298,ATL,2H
2026-09-09,81,26,23,10,2.0,0.0,3,0.4,0.385,0.76,1.145,0.475,0.115,0.0,0.077,0.37148000000000003,0.4221363636363637,12,40,0.3,0.506,42,6,0.14285714285714285,0.6923076923076923,27,0.333,24,14,13,30,81,9,6,0.6296,0.3704,0.4691,0.3333,0.3,0.4615,0.6225,0.2716,0.4444,0.284,0.3846,0.1538,0,0.0,0.7317073170731707,HOU,2H
2026-09-15,98,27,19,8,1.0,2.0,5,0.348,0.407,0.609,1.016,0.427,0.185,0.074,0.037,0.40691320000000003,0.4732941176470588,15,55,0.273,0.439,43,12,0.27906976744186046,0.5925925925925926,36,0.367,27,14,22,35,98,4,12,0.6429,0.3571,0.4184,0.3673,0.1143,0.5455,0.605,0.1837,0.5102,0.3061,0.3704,0.2593,1,0.1111111111111111,0.6511627906976745,WSH,2H
