pitcher,game_year,pitches,plate_apps,bip,hits,hrs,walks,strikeouts,ba,obp,slg,ops,woba,krate,bbrate,hr_rate,name,whiff_rate,chase_rate
663559,2021,552,140,97.0,34.0,5.0,6.0,34.0,0.26,0.3,0.42,0.72,0.309,0.243,0.043,0.036,"Falter, Bailey",0.23308270676691728,0.221
663559,2022,1295,350,252.0,85.0,16.0,17.0,74.0,0.262,0.309,0.475,0.784,0.337,0.211,0.049,0.046,"Falter, Bailey",0.2396825396825397,0.282
663559,2023,661,174,139.0,50.0,7.0,8.0,27.0,0.303,0.333,0.497,0.83,0.353,0.155,0.046,0.04,"Falter, Bailey",0.1695906432748538,0.298
663767,2026,831,212,134.0,40.0,10.0,18.0,55.0,0.219,0.292,0.437,0.73,0.313,0.259,0.085,0.047,"Shugart, Chase",0.23880597014925373,0.261
663969,2024,578,160,123.0,45.0,9.0,7.0,28.0,0.3,0.338,0.527,0.864,0.369,0.175,0.044,0.056,"Phillips, Tyler",0.21710526315789475,0.339
666200,2025,3013,759,482.0,167.0,16.0,57.0,216.0,0.24,0.299,0.356,0.655,0.289,0.285,0.075,0.021,"Luzardo, Jesús",0.30833333333333335,0.304
666200,2026,2860,730,443.0,143.0,15.0,52.0,221.0,0.217,0.282,0.332,0.614,0.275,0.303,0.071,0.021,"Luzardo, Jesús",0.31948640483383683,0.337
672578,2025,438,122,85.0,32.0,4.0,12.0,23.0,0.302,0.377,0.462,0.839,0.364,0.189,0.098,0.033,"Hernández, Carlos",0.22270742358078602,0.291
675921,2020,439,113,79.0,30.0,6.0,10.0,23.0,0.3,0.363,0.53,0.893,0.376,0.204,0.088,0.053,"Howard, Spencer",0.2559241706161137,0.284
675921,2021,525,127,76.0,25.0,2.0,17.0,31.0,0.236,0.354,0.396,0.751,0.331,0.244,0.134,0.016,"Howard, Spencer",0.26778242677824265,0.222
676661,2025,646,170,132.0,41.0,7.0,12.0,26.0,0.261,0.312,0.452,0.764,0.329,0.153,0.071,0.041,"Lazar, Max",0.20270270270270271,0.255
680742,2026,967,232,137.0,43.0,8.0,15.0,73.0,0.204,0.267,0.346,0.613,0.272,0.315,0.065,0.034,"Bowlan, Jonathan",0.31262939958592134,0.352
689147,2024,1087,258,158.0,51.0,2.0,17.0,74.0,0.22,0.295,0.297,0.592,0.268,0.287,0.066,0.008,"Kerkering, Orion",0.2764227642276423,0.277
689147,2025,1073,263,170.0,55.0,6.0,24.0,65.0,0.238,0.316,0.364,0.679,0.3,0.247,0.091,0.023,"Kerkering, Orion",0.23695652173913043,0.251
689147,2026,1097,268,164.0,51.0,5.0,33.0,63.0,0.227,0.34,0.364,0.704,0.318,0.235,0.123,0.019,"Kerkering, Orion",0.259825327510917,0.281
690953,2025,454,108,77.0,25.0,7.0,9.0,21.0,0.255,0.324,0.52,0.844,0.36,0.194,0.083,0.065,"Abel, Mick",0.24107142857142858,0.254
691725,2026,2033,529,372.0,127.0,21.0,44.0,107.0,0.269,0.333,0.443,0.775,0.338,0.202,0.083,0.04,"Painter, Andrew",0.2517412935323383,0.338
