player_name,game_year,p_throws,pitches,plate_apps,ba,obp,slg,ops,woba,krate,bbrate,hr_rate,runs_created,games,rc_per_pa,rc_per_gm,ff_vert,ff_velo,ff_spin,whiff_rate_breaking,whiff_rate_iz_ff,strikeouts,walks,hrs,hits,swings,whiffs,whiff_rate,chases,ooz,chase_rate,in_zone_rate,swings_breaking,whiffs_breaking,swings_iz_ff,whiffs_iz_ff
"Bowlan, Jonathan",2023,R,56,14,0.357,0.357,0.571,0.929,0.395,0.214,0.0,0.071,1,2,0.07142857142857142,0.5,16.8,94.9,2153.6,0.5,0.25,3,0.0,1,5,33,10,0.30303030303030304,6,25,0.24,0.554,14,7,12,3
"Bowlan, Jonathan",2024,R,68,17,0.429,0.529,1.071,1.601,0.639,0.176,0.176,0.176,4,1,0.23529411764705882,4.0,19.2,95.6,2248.5,0.3333333333333333,0.3333333333333333,3,3.0,3,6,32,10,0.3125,11,36,0.306,0.471,9,3,12,4
"Bowlan, Jonathan",2025,R,727,181,0.228,0.298,0.395,0.693,0.302,0.254,0.094,0.033,18,34,0.09944751381215469,0.5294117647058824,18.0,95.5,2345.2,0.36923076923076925,0.4125,46,17.0,6,37,350,118,0.33714285714285713,126,401,0.314,0.448,130,48,80,33
"Bowlan, Jonathan",2026,R,967,232,0.204,0.267,0.346,0.613,0.272,0.315,0.065,0.034,30,59,0.12931034482758622,0.5084745762711864,18.0,97.0,2410.6,0.3220338983050847,0.3202614379084967,73,15.0,8,43,483,151,0.31262939958592134,186,529,0.352,0.453,118,38,153,49
