game_year,pitcher,name,is_cohort,on_phi_2026,phi_season,frame,coverage,role,med_pitches_per_outing,games,n,swings,pa_end,usage,thin,pop_member,velo,ivb_in,spin,ext,hb_in,whiff_rate,rv100,xwoba,velo_final,ivb_in_final,spin_final,whiff_rate_final,rv100_final,g_velo,g_ivb_in,g_spin,g_whiff_rate,g_rv100,z_velo,z_ivb_in,z_spin,z_whiff_rate,z_rv100,shape_grade,results_grade,shape_score,results_score,ff_elite_shape_flag,ff_elite_results_flag,ff_elite_archetype_flag,ff_elite_composite,efc_score,archetype_tier
2021,656322,Sam Coonrod,False,False,True,PHI,COMPLETE,RP,16.0,36,139,86,18,0.1952,False,True,98.5331,15.9574,2282.1007,6.554,-9.6527,0.4419,1.3561,0.3292,99.3519,15.9574,2323.3851,0.3517,-0.1371,70.0,50.0,50.0,75.0,55.0,1.8739,0.1388,-0.0058,2.7101,0.3342,55.0,65.0,56.6897,65.2214,False,True,False,60.0,60.9555,RESULTS-ONLY
2024,686752,Ryan Pepiot,False,False,False,FILE,COMPLETE,SP,87.5,26,1084,494,262,0.5044,False,True,94.9094,19.4222,2379.4834,6.7923,-8.8256,0.3138,0.7293,0.2908,95.2369,19.4222,2395.9971,0.3036,0.2004,50.0,65.0,55.0,65.0,60.0,-0.0884,1.7067,0.5305,1.7492,1.1976,55.0,65.0,57.1629,64.7339,False,True,False,60.0,60.9484,RESULTS-ONLY
2025,694819,Jacob Misiorowski,False,False,False,INCIDENTAL,PARTIAL,SP,73.0,3,81,40,15,0.4765,True,False,99.5667,16.0059,2605.5309,7.637,-9.6193,0.4,-0.1173,0.2934,99.7304,16.0059,2613.7877,0.2912,-0.3139,70.0,50.0,70.0,65.0,50.0,2.0545,0.1608,2.1392,1.5028,-0.1181,65.0,60.0,64.5148,56.9233,True,True,True,65.0,60.719,ELITE
2023,675911,Spencer Strider,False,False,False,FILE,COMPLETE,SP,98.0,32,1826,992,418,0.589,False,True,97.2482,18.4009,2362.2297,7.0489,-6.0509,0.2873,0.401,0.3282,97.7395,18.4009,2387.0004,0.2834,0.1293,60.0,60.0,55.0,65.0,60.0,1.105,1.2445,0.4641,1.3466,1.0156,60.0,65.0,59.3788,61.8107,True,True,True,65.0,60.5947,ELITE
2018,641341,MLBAM 641341,False,False,False,VS_PHI,PARTIAL,RP,26.5,13,110,63,18,0.6707,False,True,96.5073,18.4516,2693.8909,6.2509,-8.8309,0.2381,1.9618,0.3273,97.8173,18.4516,2759.946,0.2266,-0.1176,60.0,65.0,80.0,50.0,55.0,1.1421,1.2675,3.2188,0.2143,0.3842,70.0,55.0,68.0322,52.9925,True,False,False,65.0,60.5123,SHAPE-ONLY
2026,661395,Jhoan Duran,True,True,True,PHI,COMPLETE,RP,16.0,54,241,129,59,0.2675,False,True,100.4386,13.2901,2075.7718,6.0548,-12.8435,0.4341,3.2531,0.2034,100.4386,13.2901,2075.7718,0.3673,0.323,75.0,40.0,30.0,80.0,65.0,2.3922,-1.0682,-1.8348,3.0197,1.5111,50.0,75.0,48.2971,72.5554,False,True,False,65.0,60.4263,RESULTS-ONLY
2018,518886,Craig Kimbrel,False,False,False,FILE,COMPLETE,RP,16.0,63,718,360,90,0.6463,False,True,97.0708,15.6105,2356.1379,6.3054,-9.2773,0.3333,0.5224,0.3729,98.3808,15.6105,2422.193,0.3172,0.0105,65.0,50.0,55.0,70.0,55.0,1.4109,-0.0182,0.724,2.0212,0.7118,55.0,65.0,57.0556,63.6649,False,True,False,60.0,60.3603,RESULTS-ONLY
2021,554430,Zack Wheeler,True,True,True,PHI,COMPLETE,SP,100.0,32,1359,694,195,0.424,False,True,97.176,15.914,2388.2975,7.1977,-7.6494,0.2594,1.0149,0.3552,97.9948,15.914,2429.5819,0.2559,0.4189,60.0,50.0,60.0,60.0,70.0,1.2268,0.1192,0.7786,0.8001,1.7563,55.0,65.0,57.0817,62.782,False,True,False,60.0,59.9319,RESULTS-ONLY
2025,554430,Zack Wheeler,True,True,True,PHI,COMPLETE,SP,101.5,24,981,522,212,0.4098,False,True,96.0726,14.6944,2470.4037,7.2771,-10.1387,0.3046,1.1354,0.2788,96.2363,14.6944,2478.6606,0.2958,0.367,55.0,45.0,60.0,65.0,65.0,0.3882,-0.4327,1.1411,1.5941,1.6235,55.0,65.0,53.6553,66.0879,False,True,False,60.0,59.8716,RESULTS-ONLY
2023,605447,Jordan Romano,False,False,False,FILE,COMPLETE,RP,14.0,59,419,196,92,0.4579,False,True,96.706,17.522,2325.8517,7.5415,-4.1298,0.3214,1.3291,0.2952,97.1972,17.522,2350.6223,0.2974,0.1336,60.0,60.0,50.0,65.0,60.0,0.8464,0.8468,0.1954,1.6273,1.0266,55.0,65.0,56.2955,63.2697,False,True,False,60.0,59.7826,RESULTS-ONLY
2021,592791,Jameson Taillon,False,False,False,FILE,COMPLETE,SP,84.0,29,1174,672,305,0.4949,False,True,93.9201,17.8743,2418.5324,6.707,-3.3953,0.2812,0.9842,0.2927,94.7389,17.8743,2459.8168,0.276,0.354,45.0,60.0,60.0,60.0,65.0,-0.3259,1.0062,1.0019,1.2007,1.5904,55.0,65.0,55.6076,63.9557,False,True,False,60.0,59.7817,RESULTS-ONLY
2025,680742,Jonathan Bowlan,True,True,False,FILE,COMPLETE,RP,19.5,34,243,124,44,0.3343,False,True,95.5292,17.6711,2345.2222,6.684,-7.9669,0.4355,0.1095,0.3486,95.693,17.6711,2353.4791,0.3664,-0.2484,50.0,60.0,50.0,80.0,50.0,0.1291,0.9143,0.2165,3.0016,0.0495,55.0,65.0,54.1996,65.2477,False,True,False,60.0,59.7236,RESULTS-ONLY
2024,554430,Zack Wheeler,True,True,True,PHI,COMPLETE,SP,98.0,32,1298,678,287,0.4142,False,True,95.2673,14.6315,2430.7974,7.2409,-9.5412,0.2965,1.252,0.3062,95.5948,14.6315,2447.3111,0.2901,0.5328,50.0,45.0,60.0,65.0,70.0,0.0823,-0.4612,0.9095,1.4816,2.0477,50.0,70.0,51.7688,67.6467,False,True,False,60.0,59.7077,RESULTS-ONLY
2022,554430,Zack Wheeler,True,True,True,PHI,COMPLETE,SP,96.0,26,998,499,146,0.4232,False,True,95.9205,16.2107,2391.5752,7.285,-9.221,0.2866,1.0787,0.3946,96.5756,16.2107,2424.6027,0.2792,0.3461,55.0,55.0,55.0,65.0,65.0,0.55,0.2534,0.7418,1.2637,1.57,55.0,65.0,55.1507,64.1689,False,True,False,60.0,59.6598,RESULTS-ONLY
