board,cand_rank,ungoverned_rank,game_year,pitcher,name,is_cohort,frame,coverage,role,games,n,swings,thin,velo,ivb_in,spin,whiff_rate,rv100,whiff_rate_final,rv100_final,shape_grade,results_grade,ff_elite_composite,efc_score,efc_score_ungoverned,archetype_tier
RANKED,46.0,44.0,2025,808963,Roki Sasaki,False,TEAM,COMPLETE,SP,10,312,154,False,96.1446,14.3054,2084.4808,0.1169,0.3926,0.1427,-0.1674,45.0,45.0,45.0,43.8388,45.2368,NOT ELITE
RANKED,47.0,42.0,2025,621111,Walker Buehler,False,FILE,COMPLETE,SP,26,552,186,False,93.9902,16.9083,2249.3967,0.1505,-1.6259,0.1652,-0.7665,50.0,40.0,45.0,43.4079,46.4884,NOT ELITE
RANKED,48.0,45.0,2025,681343,MLBAM 681343,False,INCIDENTAL,PARTIAL,UNK,28,151,132,False,95.7437,14.0162,2285.0067,0.0455,0.7285,0.0956,-0.1994,50.0,40.0,45.0,43.2187,45.1757,NOT ELITE
RANKED,49.0,52.0,2025,663436,Davis Martin,False,INCIDENTAL,PARTIAL,SP,23,108,87,False,94.1074,14.9411,2424.2593,0.092,-6.9417,0.1396,-0.928,50.0,35.0,45.0,41.8658,39.6972,NOT ELITE
RANKED,50.0,50.0,2025,615698,Cal Quantrill,False,INCIDENTAL,PARTIAL,SP,18,132,72,False,93.2106,16.35,2097.2803,0.1528,-4.4583,0.1794,-0.7771,45.0,40.0,45.0,41.1376,40.6856,NOT ELITE
RANKED,51.0,49.0,2025,680732,Sean Burke,False,INCIDENTAL,PARTIAL,UNK,28,128,108,False,94.275,18.0516,2543.4453,0.037,-10.5102,0.0974,-1.4043,55.0,25.0,40.0,40.6613,41.3275,NOT ELITE
RANKED,52.0,51.0,2025,645261,Sandy Alcantara,False,INCIDENTAL,PARTIAL,SP,25,173,110,False,97.6,13.2257,2288.0347,0.0727,-5.6965,0.1203,-1.0677,50.0,30.0,40.0,39.8141,40.1609,NOT ELITE
RANKED,53.0,55.0,2025,678368,Valente Bellozo,False,INCIDENTAL,PARTIAL,RP,24,104,68,False,91.0846,17.2131,2167.6923,0.0882,-6.4269,0.1449,-0.8627,40.0,35.0,40.0,38.6984,36.3513,NOT ELITE
RANKED,54.0,53.0,2025,622608,Antonio Senzatela,False,VS_PHI,PARTIAL,SP,9,211,94,False,94.3611,12.1069,2205.5877,0.0851,-3.1246,0.1331,-0.7844,40.0,35.0,40.0,37.8319,38.9078,NOT ELITE
RANKED,55.0,54.0,2025,676083,Janson Junk,False,INCIDENTAL,PARTIAL,SP,20,107,93,False,93.6336,17.8856,2295.3458,0.0215,-10.8794,0.0938,-1.2769,50.0,25.0,40.0,37.6067,37.1757,NOT ELITE
