breakpoint,pre_pa,post_pa,pre_slg,post_slg,pre_woba,post_woba,delta_slg,delta_woba
2026-05-01,120,392,0.205607476635514,0.44166666666666665,0.1961166666666667,0.3355677749360614,0.23605919003115264,0.1394511082693947
2026-05-15,161,351,0.2827586206896552,0.43478260869565216,0.24209316770186334,0.3307542857142857,0.15202398800599698,0.08866111801242238
2026-06-01,224,288,0.33004926108374383,0.4318181818181818,0.2655848214285714,0.33188153310104535,0.101768920734438,0.06629671167247392
2026-06-15,273,239,0.348,0.43317972350230416,0.2732857142857143,0.33669747899159663,0.08517972350230418,0.06341176470588233
2026-07-01,328,184,0.3466666666666667,0.46107784431137727,0.274375,0.35380327868852457,0.1144111776447106,0.07942827868852459
2026-07-08,355,157,0.3653250773993808,0.4375,0.2836225352112676,0.34650641025641027,0.0721749226006192,0.06288387504514265
2026-07-16,377,135,0.3508771929824561,0.488,0.27750663129973474,0.37403731343283586,0.13712280701754387,0.09653068213310112
2026-07-17,381,131,0.3468208092485549,0.5041322314049587,0.2745931758530184,0.38554615384615387,0.15731142215640376,0.11095297799313547
2026-08-01,431,81,0.361323155216285,0.527027027027027,0.2836264501160093,0.40622500000000006,0.16570387181074198,0.12259854988399077
2026-08-08,462,50,0.35629453681710216,0.6739130434782609,0.2818896103896104,0.5001632653061224,0.3176185066611587,0.21827365491651202
