stand,era,plate_apps,walks,strikeouts,woba,bb_rate,k_rate,pitches,games,ch_share,kc_share,fb_share,offspeed_share,breaking_share,fp_offspeed_share,first_pitch_strike_rate,two_strike_fb_rate,two_strike_ch_rate,behind_ch_rate,in_zone_rate,whiff_rate,chase_rate
L,before,218,26,47,0.3853,0.1193,0.2156,923,17,0.179,0.3427,0.4772,0.179,0.3438,0.1927,0.578,0.493,0.1092,0.16,0.4187,0.263,0.3153
L,since,148,10,38,0.3125,0.0676,0.2568,588,9,0.2741,0.2879,0.4379,0.2741,0.2879,0.2838,0.5811,0.3537,0.2195,0.3137,0.431,0.3037,0.3242
R,before,160,3,40,0.3403,0.0188,0.25,596,17,0.0453,0.3389,0.5923,0.0453,0.3624,0.0312,0.7438,0.4529,0.0529,0.0424,0.4899,0.2601,0.3191
R,since,68,5,21,0.3694,0.0735,0.3088,268,9,0.1269,0.3694,0.4888,0.1269,0.3843,0.058,0.6812,0.3537,0.122,0.2,0.4254,0.3415,0.3636
