catcher_id,resolved_name,game_year,total_pitches,uq_games,pitches,plate_apps,bip,hits,hrs,walks,strikeouts,ba,obp,slg,ops,woba,xwoba,krate,bbrate,hr_rate,ooz,chases,chase_rate,in_zone_rate,swings,whiffs,whiff_rate,pitches2strikes,putaway_rate,first_pitch_strike_rate,bips,hard_hit_rate,xwobacon,edge_rate,ooz_called_strike_rate,gb_rate,air_rate,two_strike_pitches,two_strike_fb_rate,in_zone_whiff_rate,pitch_pairs,repeat_pitch_rate,active_types,entropy_norm,ahead_pitches,behind_pitches,js_divergence,below_game_floor,below_pitch_floor,below_pa_floor
595284,"Knapp, Andrew",2019,508,5,508,125,74,20,2,10.0,39,0.18,0.256,0.279,0.535,0.237,0.352,0.312,0.08,0.016,280,90,0.321,0.449,240,67,0.279,147,0.265,0.696,74,0.365,0.352,0.349,0.064,0.608,0.392,146,0.4178,0.1812,381,0.294,4,0.5783,165,120,0.0179,False,False,False
595284,"Knapp, Andrew",2020,307,4,307,77,40,16,4,5.0,32,0.222,0.273,0.458,0.731,0.309,0.446,0.416,0.065,0.052,173,65,0.376,0.436,150,52,0.347,94,0.34,0.688,40,0.425,0.446,0.378,0.052,0.375,0.625,94,0.4468,0.2,230,0.2174,4,0.6308,102,63,0.0039,False,False,False
595284,"Knapp, Andrew",2021,396,4,396,103,61,17,4,7.0,34,0.179,0.243,0.316,0.559,0.246,0.347,0.33,0.068,0.039,208,71,0.341,0.475,183,54,0.295,117,0.291,0.66,61,0.459,0.347,0.371,0.053,0.344,0.656,117,0.5043,0.1786,293,0.3038,5,0.6164,129,100,0.0235,False,False,False
595751,"Alfaro, Jorge",2017,200,2,200,51,32,12,1,3.0,16,0.25,0.294,0.375,0.669,0.29,0.376,0.314,0.059,0.02,91,26,0.286,0.545,96,29,0.302,67,0.239,0.686,32,0.25,0.376,0.37,0.044,0.5,0.5,67,0.4328,0.2286,149,0.349,4,0.6232,68,39,0.1437,True,False,False
595751,"Alfaro, Jorge",2018,2980,31,2980,767,501,141,16,49.0,211,0.201,0.254,0.317,0.571,0.251,0.321,0.275,0.064,0.021,1438,427,0.297,0.517,1418,398,0.281,926,0.228,0.694,501,0.321,0.321,0.38,0.063,0.515,0.485,926,0.4795,0.217,2211,0.3166,4,0.5998,1007,638,0.0229,False,False,False
596117,"Stubbs, Garrett",2022,383,4,383,109,71,24,2,4.0,29,0.238,0.284,0.356,0.641,0.282,0.354,0.266,0.037,0.018,183,58,0.317,0.522,179,54,0.302,103,0.282,0.67,71,0.239,0.354,0.379,0.033,0.423,0.577,103,0.4854,0.2066,274,0.292,5,0.6918,123,79,0.0385,False,False,False
596117,"Stubbs, Garrett",2023,296,3,296,78,54,19,2,1.0,22,0.25,0.269,0.408,0.677,0.289,0.383,0.282,0.013,0.026,149,50,0.336,0.497,146,44,0.301,99,0.222,0.667,54,0.407,0.383,0.355,0.054,0.519,0.481,99,0.4646,0.2604,218,0.2661,5,0.6993,102,52,0.0399,False,False,False
596117,"Stubbs, Garrett",2024,1538,16,1538,395,279,94,14,20.0,93,0.254,0.294,0.441,0.734,0.315,0.307,0.235,0.051,0.035,809,259,0.32,0.474,760,197,0.259,457,0.204,0.668,279,0.358,0.38,0.363,0.047,0.459,0.541,457,0.477,0.1537,1140,0.2561,5,0.675,461,379,0.0091,False,False,False
596117,"Stubbs, Garrett",2026,754,8,754,182,124,44,8,10.0,47,0.259,0.297,0.418,0.714,0.31,0.29,0.258,0.055,0.044,421,140,0.333,0.442,354,101,0.285,236,0.199,0.601,124,0.435,0.368,0.371,0.038,0.395,0.605,236,0.3983,0.1495,571,0.2032,6,0.7086,229,187,0.0124,False,False,False
665561,"Marchán, Rafael",2021,175,2,175,41,27,12,2,2.0,11,0.316,0.366,0.526,0.892,0.381,0.469,0.268,0.049,0.049,87,25,0.287,0.503,86,19,0.221,64,0.172,0.634,27,0.519,0.469,0.4,0.115,0.444,0.556,64,0.5781,0.1311,134,0.291,5,0.6489,68,32,0.0578,True,False,True
665561,"Marchán, Rafael",2024,103,1,103,23,15,5,2,0.0,8,0.217,0.217,0.522,0.739,0.309,0.291,0.348,0.0,0.087,61,29,0.475,0.408,60,21,0.35,47,0.17,0.783,15,0.467,0.446,0.408,0.049,0.467,0.533,47,0.5745,0.1935,80,0.3,5,0.6413,45,14,0.1184,True,False,True
665561,"Marchán, Rafael",2025,427,5,427,113,68,33,4,11.0,32,0.333,0.407,0.515,0.922,0.398,0.326,0.283,0.097,0.035,219,71,0.324,0.487,197,54,0.274,123,0.26,0.637,68,0.382,0.409,0.379,0.037,0.456,0.544,123,0.4797,0.1905,314,0.2006,5,0.7012,125,107,0.005,False,False,False
665561,"Marchán, Rafael",2026,545,6,545,136,91,34,7,14.0,30,0.288,0.353,0.585,0.938,0.391,0.357,0.221,0.103,0.051,325,92,0.283,0.404,222,59,0.266,147,0.204,0.625,91,0.462,0.422,0.365,0.028,0.341,0.659,147,0.4218,0.1385,405,0.1728,6,0.7033,133,163,0.0011,False,False,False
