catcher,era,plate_apps,walks,strikeouts,woba,bb_rate,k_rate,pitches,games,ch_share,kc_share,fb_share,offspeed_share,breaking_share,fp_offspeed_share,first_pitch_strike_rate,two_strike_fb_rate,two_strike_ch_rate,behind_ch_rate,in_zone_rate,whiff_rate,chase_rate
"Marchán, Rafael",before,93,12,18,0.4082,0.129,0.1935,372,4,0.1294,0.3288,0.5418,0.1294,0.3288,0.1183,0.6022,0.4574,0.0957,0.1083,0.3827,0.25,0.2926
"Marchán, Rafael",since,43,2,12,0.3543,0.0465,0.2791,173,2,0.2071,0.3491,0.4379,0.2071,0.355,0.1163,0.6744,0.3585,0.1698,0.3488,0.432,0.2973,0.2604
"Realmuto, J.T.",before,226,14,54,0.3594,0.0619,0.2389,878,10,0.1276,0.3462,0.5091,0.1276,0.3633,0.1283,0.677,0.4905,0.0837,0.1435,0.4727,0.2736,0.3326
"Realmuto, J.T.",since,50,6,15,0.3792,0.12,0.3,198,2,0.1907,0.3918,0.4124,0.1907,0.3969,0.22,0.6,0.3519,0.1296,0.2128,0.4072,0.3409,0.3739
"Stubbs, Garrett",before,59,3,15,0.3265,0.0508,0.2542,269,3,0.119,0.342,0.539,0.119,0.342,0.1186,0.6102,0.4639,0.0928,0.0938,0.4498,0.2358,0.3041
"Stubbs, Garrett",since,123,7,32,0.3023,0.0569,0.2602,485,5,0.2495,0.2701,0.4763,0.2495,0.2742,0.2419,0.5968,0.3525,0.2158,0.2846,0.4371,0.3117,0.348
