entity,player_name,game_year,plate_apps,pitches,ba,obp,slg,ops,woba,krate,whiff_rate,chase_rate,hard_hit_rate,barrel_rate,runs_created,rc_per_pa
Phillies Hitters,"Alfaro, Jorge",2017,113,391,0.3177570093457944,0.35398230088495575,0.514018691588785,0.8680009924737407,0.3693893805309734,0.2920353982300885,0.371900826446281,0.4221105527638191,0.36486486486486486,0.0945945945945946,14,0.12389380530973451
Phillies Hitters,"Alfaro, Jorge",2018,371,1334,0.2616279069767442,0.31266846361185985,0.4069767441860465,0.7196452077979063,0.31357951482479784,0.3719676549865229,0.4233128834355828,0.4331306990881459,0.4396135265700483,0.10628019323671498,40,0.1078167115902965
Phillies Hitters,"Altherr, Aaron",2015,161,638,0.24087591240875914,0.3375,0.48905109489051096,0.826551094890511,0.35344999999999993,0.2546583850931677,0.25475285171102663,0.21450151057401812,0.43434343434343436,0.030303030303030304,24,0.14906832298136646
Phillies Hitters,"Altherr, Aaron",2016,227,929,0.19696969696969696,0.29955947136563876,0.2878787878787879,0.5874382592444267,0.26582666666666666,0.3039647577092511,0.2885572139303483,0.278118609406953,0.3488372093023256,0.031007751937984496,24,0.10572687224669604
Phillies Hitters,"Altherr, Aaron",2017,410,1593,0.271505376344086,0.33658536585365856,0.5161290322580645,0.8527143981117231,0.35921951219512194,0.25365853658536586,0.2994350282485876,0.25524044389642414,0.4312267657992565,0.10408921933085502,68,0.16585365853658537
Phillies Hitters,"Altherr, Aaron",2018,285,1155,0.18106995884773663,0.29473684210526313,0.3333333333333333,0.6280701754385964,0.2820456140350877,0.3192982456140351,0.3281853281853282,0.22719449225473323,0.45454545454545453,0.09740259740259741,41,0.14385964912280702
Phillies Hitters,"Altherr, Aaron",2019,30,122,0.034482758620689655,0.06666666666666667,0.06896551724137931,0.135632183908046,0.06356666666666667,0.3,0.2878787878787879,0.32142857142857145,0.25,0.05,1,0.03333333333333333
Phillies Hitters,"Arraez, Luis",2026,62,235,0.23728813559322035,0.25806451612903225,0.3559322033898305,0.6139967195188627,0.26582258064516123,0.03225806451612903,0.06956521739130435,0.3359375,0.15789473684210525,0.017543859649122806,9,0.14516129032258066
Phillies Hitters,"Arrieta, Jake",2018,50,206,0.13333333333333333,0.1875,0.2,0.3875,0.1771041666666667,0.54,0.4567901234567901,0.2376237623762376,0.25,0.0,3,0.06
Phillies Hitters,"Arrieta, Jake",2019,50,186,0.15555555555555556,0.17391304347826086,0.17777777777777778,0.3516908212560387,0.15493478260869567,0.38,0.35365853658536583,0.32558139534883723,0.26666666666666666,0.0,5,0.1
Phillies Hitters,"Asche, Cody",2015,457,1722,0.24413145539906103,0.29321663019693656,0.39436619718309857,0.6875828273800351,0.29712334801762114,0.24288840262582057,0.24790419161676647,0.301218161683278,0.33015873015873015,0.05714285714285714,41,0.08971553610503283
Phillies Hitters,"Asche, Cody",2016,218,914,0.2131979695431472,0.28440366972477066,0.350253807106599,0.6346574768313696,0.2787339449541284,0.24770642201834864,0.1980440097799511,0.25925925925925924,0.2986111111111111,0.034722222222222224,20,0.09174311926605505
Phillies Hitters,"Bader, Harrison",2025,198,731,0.30726256983240224,0.36363636363636365,0.46368715083798884,0.8273235144743525,0.3583787878787879,0.2828282828282828,0.2826666666666667,0.3489583333333333,0.408,0.08,17,0.08585858585858586
Phillies Hitters,"Bautista, José",2018,57,262,0.24444444444444444,0.40350877192982454,0.4666666666666667,0.8701754385964913,0.3817543859649123,0.2631578947368421,0.31,0.1793103448275862,0.43333333333333335,0.06666666666666667,6,0.10526315789473684
Phillies Hitters,"Blanco, Andrés",2015,261,1008,0.2918454935622318,0.36046511627906974,0.5021459227467812,0.8626110390258509,0.3716434108527132,0.1685823754789272,0.21971252566735114,0.30280373831775703,0.265625,0.052083333333333336,26,0.09961685823754789
Phillies Hitters,"Blanco, Andrés",2016,209,786,0.25263157894736843,0.3157894736842105,0.4052631578947368,0.7210526315789474,0.31335406698564594,0.19617224880382775,0.26618705035971224,0.3431151241534989,0.35333333333333333,0.02,23,0.11004784688995216
Phillies Hitters,"Blanco, Andrés",2017,144,553,0.19230769230769232,0.2569444444444444,0.2923076923076923,0.5492521367521368,0.24284722222222221,0.2361111111111111,0.30067567567567566,0.3053435114503817,0.23469387755102042,0.030612244897959183,14,0.09722222222222222
Phillies Hitters,"Bogusevic, Brian",2015,61,246,0.25862068965517243,0.29508196721311475,0.41379310344827586,0.7088750706613907,0.3076885245901639,0.3442622950819672,0.325,0.32857142857142857,0.32432432432432434,0.02702702702702703,5,0.08196721311475409
Phillies Hitters,"Bohm, Alec",2020,180,661,0.3375,0.4,0.48125,0.8812500000000001,0.38117222222222225,0.2,0.2515923566878981,0.25,0.46825396825396826,0.10317460317460317,26,0.14444444444444443
Phillies Hitters,"Bohm, Alec",2021,417,1673,0.24736842105263157,0.30455635491606714,0.34210526315789475,0.6466616180739619,0.2850431654676259,0.26618705035971224,0.2665036674816626,0.2601626016260163,0.4945054945054945,0.06593406593406594,52,0.12470023980815348
Phillies Hitters,"Bohm, Alec",2022,695,2518,0.2744186046511628,0.3107913669064748,0.3937984496124031,0.704589816518878,0.30682158273381294,0.18129496402877698,0.21698841698841698,0.3190512624330528,0.43478260869565216,0.06805293005671077,86,0.1237410071942446
Phillies Hitters,"Bohm, Alec",2023,663,2436,0.271523178807947,0.3273001508295626,0.43211920529801323,0.7594193561275758,0.32834841628959277,0.15535444947209653,0.18827415359207267,0.3009950248756219,0.41222879684418146,0.05719921104536489,106,0.15987933634992457
Phillies Hitters,"Bohm, Alec",2024,619,2161,0.2746478873239437,0.3247172859450727,0.43838028169014087,0.7630975676352136,0.3297043618739903,0.13893376413570274,0.17488372093023255,0.27436140018921473,0.4517453798767967,0.06776180698151951,99,0.15993537964458804
