player_name,batter,game_year,stand,plate_apps,pitches,at_bats,hits,walks,unint_walks,hbp,strikeouts,sf,singles,doubles,triples,hrs,bip,ba,obp,slg,ops,iso,krate,bbrate,babip,woba,swings,whiffs,whiff_rate,chases,ooz,chase_rate,bips,hard_hits,hard_hit_rate,bips_barrel,barrels,barrel_rate,runs_created,rc_per_pa,floor,in_population
"Arraez, Luis",650333,2026,L,62,235,59,14,2,2,0,2,1,9,4,0,1,57,0.23728813559322035,0.25806451612903225,0.3559322033898305,0.6139967195188627,0.11864406779661016,0.03225806451612903,0.03225806451612903,0.22807017543859648,0.26582258064516123,115.0,8.0,0.06956521739130435,43.0,128.0,0.3359375,57.0,9.0,0.15789473684210525,57.0,1.0,0.017543859649122806,9,0.14516129032258066,11,True
"Arrieta, Jake",453562,2018,R,50,206,45,6,3,3,0,27,0,5,0,0,1,20,0.13333333333333333,0.1875,0.2,0.3875,0.06666666666666668,0.54,0.06,0.29411764705882354,0.1771041666666667,81.0,37.0,0.4567901234567901,24.0,101.0,0.2376237623762376,20.0,5.0,0.25,20.0,0.0,0.0,3,0.06,12,True
"Arrieta, Jake",453562,2019,R,50,186,45,7,1,1,0,19,0,6,1,0,0,30,0.15555555555555556,0.17391304347826086,0.17777777777777778,0.3516908212560387,0.022222222222222227,0.38,0.02,0.2692307692307692,0.15493478260869567,82.0,29.0,0.35365853658536583,28.0,86.0,0.32558139534883723,30.0,8.0,0.26666666666666666,30.0,0.0,0.0,5,0.1,12,True
"Asche, Cody",605125,2015,L,457,1722,426,104,26,23,4,111,1,67,22,3,12,315,0.24413145539906103,0.29321663019693656,0.39436619718309857,0.6875828273800351,0.15023474178403753,0.24288840262582057,0.05689277899343545,0.3026315789473684,0.29712334801762114,835.0,207.0,0.24790419161676647,272.0,903.0,0.301218161683278,315.0,104.0,0.33015873015873015,315.0,18.0,0.05714285714285714,41,0.08971553610503283,11,True
"Asche, Cody",605125,2016,L,218,914,197,42,18,18,2,54,1,23,15,0,4,144,0.2131979695431472,0.28440366972477066,0.350253807106599,0.6346574768313696,0.13705583756345177,0.24770642201834864,0.08256880733944955,0.2714285714285714,0.2787339449541284,409.0,81.0,0.1980440097799511,126.0,486.0,0.25925925925925924,144.0,43.0,0.2986111111111111,144.0,5.0,0.034722222222222224,20,0.09174311926605505,11,True
"Asher, Alec",594742,2015,R,6,25,6,2,0,0,0,3,0,1,1,0,0,3,0.3333333333333333,0.3333333333333333,0.5,0.8333333333333333,0.16666666666666669,0.5,0.0,0.6666666666666666,0.3561666666666667,11.0,5.0,0.45454545454545453,3.0,9.0,0.3333333333333333,3.0,2.0,0.6666666666666666,3.0,0.0,0.0,0,0.0,12,False
"Asher, Alec",594742,2016,R,11,47,11,1,0,0,0,6,0,1,0,0,0,5,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.0,0.5454545454545454,0.0,0.2,0.07981818181818182,17.0,8.0,0.47058823529411764,5.0,18.0,0.2777777777777778,5.0,0.0,0.0,5.0,0.0,0.0,2,0.18181818181818182,12,False
"Aumont, Phillippe",518418,2015,L,1,6,0,0,1,1,0,0,0,0,0,0,0,0,,1.0,,,,0.0,1.0,,0.687,,,,0.0,5.0,0.0,,,,,,,0,0.0,11,False
"Bader, Harrison",664056,2025,R,198,731,179,55,12,12,5,56,2,38,11,1,5,125,0.30726256983240224,0.36363636363636365,0.46368715083798884,0.8273235144743525,0.1564245810055866,0.2828282828282828,0.06060606060606061,0.4166666666666667,0.3583787878787879,375.0,106.0,0.2826666666666667,134.0,384.0,0.3489583333333333,125.0,51.0,0.408,125.0,10.0,0.08,17,0.08585858585858586,12,True
"Bautista, José",430832,2018,R,57,262,45,11,11,11,1,15,0,5,4,0,2,30,0.24444444444444444,0.40350877192982454,0.4666666666666667,0.8701754385964913,0.22222222222222224,0.2631578947368421,0.19298245614035087,0.32142857142857145,0.3817543859649123,100.0,31.0,0.31,26.0,145.0,0.1793103448275862,30.0,13.0,0.43333333333333335,30.0,2.0,0.06666666666666667,6,0.10526315789473684,12,True
"Berroa, Steward",672642,2026,L,2,3,2,1,0,0,0,0,0,1,0,0,0,2,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.5,0.4445,2.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1,0.5,11,False
"Berroa, Steward",672642,2026,R,5,20,5,0,0,0,0,4,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,11.0,1.0,0.09090909090909091,3.0,7.0,0.42857142857142855,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,12,False
"Billingsley, Chad",451532,2015,R,14,45,13,1,0,0,0,5,0,0,0,0,1,9,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.38461538461538464,0.23076923076923078,0.35714285714285715,0.0,0.0,0.15884615384615383,19.0,6.0,0.3157894736842105,8.0,22.0,0.36363636363636365,9.0,2.0,0.2222222222222222,9.0,0.0,0.0,1,0.07142857142857142,12,True
"Blanco, Andrés",433217,2015,L,166,642,147,38,15,15,2,31,0,19,12,3,4,118,0.2585034013605442,0.3353658536585366,0.46258503401360546,0.7979508876721421,0.20408163265306123,0.18674698795180722,0.09036144578313253,0.30357142857142855,0.34508536585365857,295.0,71.0,0.24067796610169492,93.0,343.0,0.27113702623906705,118.0,32.0,0.2711864406779661,118.0,7.0,0.059322033898305086,17,0.10240963855421686,11,True
"Blanco, Andrés",433217,2015,R,95,366,86,30,6,6,2,13,0,17,10,0,3,74,0.3488372093023256,0.40425531914893614,0.5697674418604651,0.9740227610094012,0.22093023255813954,0.1368421052631579,0.06315789473684211,0.38571428571428573,0.4179787234042553,192.0,36.0,0.1875,69.0,192.0,0.359375,74.0,19.0,0.25675675675675674,74.0,3.0,0.04054054054054054,9,0.09473684210526316,12,True
"Blanco, Andrés",433217,2016,L,167,624,152,40,8,8,7,31,0,23,12,1,4,121,0.2631578947368421,0.32934131736526945,0.4342105263157895,0.7635518436810589,0.1710526315789474,0.18562874251497005,0.04790419161676647,0.3076923076923077,0.33114970059880244,330.0,79.0,0.23939393939393938,125.0,357.0,0.35014005602240894,121.0,44.0,0.36363636363636365,121.0,3.0,0.024793388429752067,21,0.12574850299401197,11,True
"Blanco, Andrés",433217,2016,R,42,162,38,8,3,3,0,10,1,5,3,0,0,29,0.21052631578947367,0.2619047619047619,0.2894736842105263,0.5513784461152882,0.07894736842105265,0.23809523809523808,0.07142857142857142,0.27586206896551724,0.24259523809523809,87.0,32.0,0.367816091954023,27.0,86.0,0.313953488372093,29.0,9.0,0.3103448275862069,29.0,0.0,0.0,2,0.047619047619047616,12,True
