game_year,stand,plate_apps,pitches,at_bats,hits,walks,unint_walks,hbp,strikeouts,sf,singles,doubles,triples,hrs,bip,ba,obp,slg,ops,iso,krate,bbrate,babip,woba,swings,whiffs,whiff_rate,chases,ooz,chase_rate,bips,hard_hits,hard_hit_rate,bips_barrel,barrels,barrel_rate,runs_created,rc_per_pa,entity
2015,L,11,42,10,1,1,1,0,2,0,1,0,0,0,8,0.1,0.18181818181818182,0.1,0.28181818181818186,0.0,0.18181818181818182,0.09090909090909091,0.125,0.14254545454545456,16,4,0.25,3,23,0.13043478260869565,8,2,0.25,8,0,0.0,0,0.0,Noles
2015,R,16,58,15,2,1,1,0,4,0,2,0,0,0,11,0.13333333333333333,0.1875,0.13333333333333333,0.3208333333333333,0.0,0.25,0.0625,0.18181818181818182,0.1530625,25,5,0.2,7,23,0.30434782608695654,11,1,0.09090909090909091,11,0,0.0,0,0.0,Noles
2016,L,20,72,20,3,0,0,0,6,0,2,1,0,0,14,0.15,0.15,0.2,0.35,0.05000000000000002,0.3,0.0,0.21428571428571427,0.1499,30,4,0.13333333333333333,11,38,0.2894736842105263,14,7,0.5,14,1,0.07142857142857142,2,0.1,Noles
2016,R,25,89,22,5,2,1,0,4,0,4,1,0,0,19,0.22727272727272727,0.2916666666666667,0.2727272727272727,0.5643939393939394,0.04545454545454544,0.16,0.08,0.2777777777777778,0.23673913043478262,39,11,0.28205128205128205,12,42,0.2857142857142857,19,6,0.3157894736842105,19,0,0.0,1,0.04,Noles
2017,L,44,194,41,14,3,3,0,13,0,6,3,3,2,28,0.34146341463414637,0.38636363636363635,0.7073170731707317,1.0936807095343681,0.3658536585365853,0.29545454545454547,0.06818181818181818,0.46153846153846156,0.4466590909090909,89,16,0.1797752808988764,27,98,0.2755102040816326,28,13,0.4642857142857143,28,2,0.07142857142857142,7,0.1590909090909091,Noles
2017,R,53,181,50,14,3,3,0,16,0,9,1,0,4,34,0.28,0.32075471698113206,0.54,0.860754716981132,0.26,0.3018867924528302,0.05660377358490566,0.3333333333333333,0.36083018867924527,86,25,0.29069767441860467,31,89,0.34831460674157305,34,10,0.29411764705882354,34,2,0.058823529411764705,11,0.20754716981132076,Noles
2018,L,19,66,19,3,0,0,0,5,0,2,0,0,1,14,0.15789473684210525,0.15789473684210525,0.3157894736842105,0.47368421052631576,0.15789473684210525,0.2631578947368421,0.0,0.15384615384615385,0.1995263157894737,37,10,0.2702702702702703,16,33,0.48484848484848486,14,5,0.35714285714285715,14,1,0.07142857142857142,2,0.10526315789473684,Noles
2018,R,58,219,54,12,4,4,0,9,0,12,0,0,0,45,0.2222222222222222,0.27586206896551724,0.2222222222222222,0.49808429118773945,0.0,0.15517241379310345,0.06896551724137931,0.26666666666666666,0.2296551724137931,99,19,0.1919191919191919,25,100,0.25,45,12,0.26666666666666666,45,1,0.022222222222222223,2,0.034482758620689655,Noles
2019,L,13,67,11,2,2,2,0,4,0,2,0,0,0,7,0.18181818181818182,0.3076923076923077,0.18181818181818182,0.48951048951048953,0.0,0.3076923076923077,0.15384615384615385,0.2857142857142857,0.24000000000000002,25,7,0.28,10,36,0.2777777777777778,7,3,0.42857142857142855,7,0,0.0,0,0.0,Noles
2019,R,71,240,67,16,1,1,2,17,0,12,3,0,1,51,0.23880597014925373,0.2714285714285714,0.3283582089552239,0.5997867803837953,0.08955223880597016,0.23943661971830985,0.014084507042253521,0.30612244897959184,0.25941428571428576,129,36,0.27906976744186046,50,119,0.42016806722689076,51,22,0.43137254901960786,51,1,0.0196078431372549,6,0.08450704225352113,Noles
2020,L,17,73,15,2,0,0,1,6,1,1,1,0,0,10,0.13333333333333333,0.17647058823529413,0.2,0.3764705882352941,0.06666666666666668,0.35294117647058826,0.0,0.2,0.16758823529411765,30,12,0.4,9,40,0.225,10,5,0.5,10,0,0.0,1,0.058823529411764705,Noles
2020,R,29,113,27,6,1,1,1,11,0,5,0,0,1,16,0.2222222222222222,0.27586206896551724,0.3333333333333333,0.6091954022988506,0.1111111111111111,0.3793103448275862,0.034482758620689655,0.3333333333333333,0.26968965517241383,60,14,0.23333333333333334,25,52,0.4807692307692308,16,7,0.4375,16,1,0.0625,2,0.06896551724137931,Noles
