player_name,pitcher,last_outing,days_of_rest,pitches_yesterday,pitches_last_3d,appearances_last_3d,pitches_last_7d,appearances_last_7d,season_avg_pitches,tier,reason,target_game
"Mayza, Tim",641835,2026-09-08,3.0,0,0,0,15,1,17.68,GREEN,"3 days rest, 0p in last 3d",2026-09-12
"Holman, Grant",680880,,,0,0,0,0,0,,GREEN,debut/no prior 2026 outing,2026-09-12
"Raley, Brooks",548384,2026-09-11,0.0,9,9,1,40,3,11.69,AMBER,"9p on 0 days rest, below his 12p average",2026-09-12
"Shugart, Chase",663767,2026-09-11,0.0,9,9,1,20,2,19.45,AMBER,"9p on 0 days rest, below his 19p average",2026-09-12
"Kerkering, Orion",689147,2026-09-04,7.0,0,0,0,0,0,17.02,GREEN,"7 days rest, 0p in last 3d",2026-09-12
"Alvarado, José",621237,2026-09-11,0.0,9,29,2,61,4,16.92,AMBER,"9p on 0 days rest, below his 17p average",2026-09-12
"Duran, Jhoan",661395,2026-09-10,1.0,0,31,2,55,4,15.46,AMBER,2 apps in last 3d,2026-09-12
"McFarlane, Alex",686934,2026-09-11,0.0,15,30,2,43,3,15.0,RED,15p on 0 days rest (season avg 15p),2026-09-12
"Bowlan, Jonathan",680742,2026-09-11,0.0,22,43,2,62,3,16.4,RED,22p on 0 days rest (season avg 16p),2026-09-12
