hitter,slot,pa_per_game,re24_per_pa_projected,risp_weight,men_on_weight,re24_per_game,re24_per_162
Justin Crawford,5,4.1607,-0.0007,0.2425,0.4077,-0.003,-0.4898
Justin Crawford,6,4.0268,-0.0052,0.2106,0.4324,-0.021,-3.4067
Justin Crawford,7,3.9286,-0.0007,0.2568,0.4568,-0.0026,-0.4153
Justin Crawford,8,3.8125,0.0012,0.2646,0.4262,0.0047,0.7694
Justin Crawford,9,3.7054,0.0003,0.2578,0.4313,0.0011,0.1744
Kyle Schwarber,1,4.5714,0.0619,0.1758,0.3242,0.2828,45.8134
Kyle Schwarber,2,4.4464,0.0667,0.2028,0.3936,0.2967,48.0632
Kyle Schwarber,3,4.3036,0.0674,0.2178,0.4149,0.2902,47.0167
Kyle Schwarber,4,4.2589,0.071,0.2495,0.478,0.3025,49.0093
Kyle Schwarber,5,4.1607,0.0637,0.2425,0.4077,0.2651,42.9517
Kyle Schwarber,6,4.0268,0.0703,0.2106,0.4324,0.2831,45.8573
Kyle Schwarber,7,3.9286,0.0677,0.2568,0.4568,0.2661,43.1031
Kyle Schwarber,8,3.8125,0.0633,0.2646,0.4262,0.2412,39.0799
Kyle Schwarber,9,3.7054,0.0647,0.2578,0.4313,0.2396,38.813
Luis Arraez,1,4.5714,0.0336,0.1758,0.3242,0.1536,24.8899
Luis Arraez,2,4.4464,0.0361,0.2028,0.3936,0.1607,26.0332
Luis Arraez,3,4.3036,0.0372,0.2178,0.4149,0.16,25.927
Luis Arraez,4,4.2589,0.0398,0.2495,0.478,0.1694,27.4406
Luis Arraez,5,4.1607,0.038,0.2425,0.4077,0.1582,25.6274
Luis Arraez,6,4.0268,0.0373,0.2106,0.4324,0.1501,24.3105
Luis Arraez,7,3.9286,0.0396,0.2568,0.4568,0.1557,25.2162
Luis Arraez,8,3.8125,0.0393,0.2646,0.4262,0.1498,24.2679
Luis Arraez,9,3.7054,0.0391,0.2578,0.4313,0.145,23.487
Trea Turner,1,4.5714,0.0014,0.1758,0.3242,0.0064,1.0354
Trea Turner,2,4.4464,0.0015,0.2028,0.3936,0.0067,1.0783
Trea Turner,3,4.3036,0.0015,0.2178,0.4149,0.0063,1.0127
Trea Turner,4,4.2589,0.0015,0.2495,0.478,0.0062,1.0099
Trea Turner,5,4.1607,0.0011,0.2425,0.4077,0.0047,0.7659
Trea Turner,6,4.0268,0.0016,0.2106,0.4324,0.0066,1.0656
Trea Turner,7,3.9286,0.0013,0.2568,0.4568,0.0049,0.8017
Trea Turner,8,3.8125,0.001,0.2646,0.4262,0.0038,0.6152
Trea Turner,9,3.7054,0.0011,0.2578,0.4313,0.0041,0.6611
