check_id,description,recomputed,published,result
V-041-547180,Bryce Harper 2K hits,37,37,PASS
V-040-607208,Trea Turner TSSR,0.581,0.581,PASS
V-041-607208,Trea Turner 2K hits,36,36,PASS
V-040-666969,Adolis García TSSR,0.4878,0.4878,PASS
V-041-666969,Adolis García 2K hits,24,24,PASS
V-040-669016,Brandon Marsh TSSR,0.4837,0.4837,PASS
V-041-669016,Brandon Marsh 2K hits,30,30,PASS
V-040-656941,Kyle Schwarber TSSR,0.4301,0.4301,PASS
V-041-656941,Kyle Schwarber 2K hits,30,30,PASS
V-042,Arraez has the best TSSR on the roster,Luis Arraez,Luis Arraez,PASS
V-050-breaking-L,breaking-L PA ended,26,26,PASS
V-051-breaking-L,breaking-L SLG,0.5,0.5,PASS
V-052-breaking-L,breaking-L BA,0.2917,0.2917,PASS
V-053-breaking-L,breaking-L BIP,25,25,PASS
V-054-breaking-L,breaking-L hard-hit,0.08,0.08,PASS
V-055-breaking-L,breaking-L pitches seen,143,143,PASS
V-050-breaking-R,breaking-R PA ended,68,68,PASS
V-051-breaking-R,breaking-R SLG,0.45,0.45,PASS
V-052-breaking-R,breaking-R BA,0.3167,0.3167,PASS
V-053-breaking-R,breaking-R BIP,59,59,PASS
V-054-breaking-R,breaking-R hard-hit,0.1695,0.1695,PASS
V-055-breaking-R,breaking-R pitches seen,248,248,PASS
V-050-fastball-L,fastball-L PA ended,109,109,PASS
V-051-fastball-L,fastball-L SLG,0.4,0.4,PASS
V-052-fastball-L,fastball-L BA,0.32,0.32,PASS
V-053-fastball-L,fastball-L BIP,93,93,PASS
V-054-fastball-L,fastball-L hard-hit,0.1613,0.1613,PASS
V-055-fastball-L,fastball-L pitches seen,344,344,PASS
V-050-fastball-R,fastball-R PA ended,202,202,PASS
V-051-fastball-R,fastball-R SLG,0.4811,0.4811,PASS
V-052-fastball-R,fastball-R BA,0.3622,0.3622,PASS
V-053-fastball-R,fastball-R BIP,187,187,PASS
V-054-fastball-R,fastball-R hard-hit,0.2567,0.2567,PASS
V-055-fastball-R,fastball-R pitches seen,781,781,PASS
V-050-offspeed-L,offspeed-L PA ended,5,5,PASS
