game_date,stand,pitch_type,pitch_name,plate_x,plate_z,release_speed,pfx_x,pfx_z,description,zone,balls,strikes
2026-07-31,R,SL,Slider,0.6438494892463413,2.467163665624857,87.1,0.62,0.1,called_strike,6.0,0,0
2026-07-31,L,SL,Slider,-0.9864195301549346,2.821802568947985,88.1,0.65,0.2,ball,11.0,3,2
2026-07-31,L,SL,Slider,1.7089609238979289,1.4122026141304396,88.6,0.68,0.1,ball,14.0,2,2
2026-07-31,L,FF,4-Seam Fastball,0.5752021100687208,3.774103520453912,96.3,-0.13,1.4,ball,12.0,1,2
2026-07-31,L,FF,4-Seam Fastball,-0.5352510521785593,2.6514873072328697,97.6,-0.3,1.46,foul,4.0,1,1
2026-07-31,L,CH,Changeup,0.0705305084167877,2.0317244819802878,90.7,-1.04,0.64,called_strike,8.0,1,0
2026-07-31,L,FF,4-Seam Fastball,-0.0139822127369603,1.1690217736880308,95.2,-0.09,1.46,ball,13.0,0,0
2026-07-31,R,SL,Slider,0.1404014266668578,1.531611130552439,87.7,0.65,0.29,hit_into_play,8.0,1,1
2026-07-31,R,ST,Sweeper,0.0905582344974025,1.8772316934083069,81.5,1.66,0.0,foul,8.0,1,0
2026-07-31,R,ST,Sweeper,-0.2031392031747738,3.533212348576368,82.7,1.79,0.14,ball,11.0,0,0
2026-07-31,L,SL,Slider,-0.3593317285354024,1.2776522894519626,86.9,0.49,0.12,ball,13.0,3,1
2026-07-31,L,ST,Sweeper,-0.639174746009689,3.3496932531317904,82.5,1.78,0.12,ball,1.0,2,1
2026-07-31,L,FF,4-Seam Fastball,0.2922695977158208,3.8531039035669226,97.4,-0.15,1.34,ball,12.0,1,1
2026-07-31,L,ST,Sweeper,-1.5711892410158408,2.0038700795499644,83.3,1.5,-0.07,ball,13.0,0,1
2026-07-31,L,SL,Slider,-0.6466974045712616,2.201089148821725,86.9,0.6,0.06,called_strike,4.0,0,0
2026-07-31,R,FF,4-Seam Fastball,0.4348667302743439,2.513034408477812,97.4,-0.3,1.45,hit_into_play,6.0,0,1
2026-07-31,R,FF,4-Seam Fastball,-0.3544663498844335,3.7056370169710617,97.5,-0.07,1.47,foul,11.0,0,0
2026-07-31,L,CH,Changeup,-0.7819191762412693,2.301589439408776,91.1,-0.97,0.77,hit_into_play,4.0,0,2
2026-07-31,L,CH,Changeup,-0.2290822866630486,1.6331523930284115,90.0,-1.26,0.43,foul,8.0,0,1
2026-07-31,L,ST,Sweeper,0.7260116659461451,2.2814708455513166,81.1,1.55,0.07,called_strike,6.0,0,0
2026-07-31,L,SL,Slider,0.8214547484785382,1.8562857553885663,88.3,0.74,0.0,swinging_strike,9.0,1,2
2026-07-31,L,SL,Slider,1.5807114368604245,0.3123551248778122,88.8,0.55,-0.25,ball,14.0,0,2
2026-07-31,L,CH,Changeup,-0.6007008968952814,2.182485102986196,91.7,-1.04,0.63,foul,4.0,0,1
2026-07-31,L,ST,Sweeper,0.3015334636241151,2.373593283839805,83.9,1.49,0.42,called_strike,6.0,0,0
2026-07-31,R,SI,Sinker,-0.3404594223473961,2.3742038573951687,95.7,-0.97,0.98,hit_into_play,4.0,0,2
2026-07-31,R,ST,Sweeper,-0.3795946426997498,2.5099296392123143,82.1,1.5,0.0,called_strike,4.0,0,1
2026-07-31,R,FF,4-Seam Fastball,-0.6194355197951664,2.0820364449476525,97.9,-0.13,1.43,called_strike,7.0,0,0
2026-07-31,L,CH,Changeup,-0.1708067309264769,2.724227316535262,92.1,-1.18,0.6,hit_into_play,5.0,0,1
2026-07-31,L,FF,4-Seam Fastball,0.4118066334364241,1.5506443950649098,97.3,-0.26,1.45,foul,14.0,0,0
2026-07-31,R,FF,4-Seam Fastball,0.6030230331831019,3.234346873307018,97.0,-0.14,1.42,hit_into_play,3.0,1,2
2026-07-31,R,FF,4-Seam Fastball,2.100774646676789,1.180196952705935,97.9,0.04,1.48,ball,14.0,0,2
2026-07-31,R,ST,Sweeper,0.4048781327772943,2.046543549991438,84.0,1.61,0.16,foul,9.0,0,1
2026-07-31,R,ST,Sweeper,-0.6680071956652374,2.3927583617555404,82.7,1.62,0.11,called_strike,4.0,0,0
2026-07-31,L,ST,Sweeper,-0.0465286821304444,2.3710907624347004,83.7,1.45,0.31,hit_into_play,5.0,2,2
2026-07-31,L,FF,4-Seam Fastball,-0.2185409397400773,0.9222257399284703,97.4,-0.15,1.4,ball,13.0,1,2
2026-07-31,L,ST,Sweeper,0.0304046588454043,1.802430513068744,81.6,1.35,-0.05,foul,8.0,1,1
2026-07-31,L,SL,Slider,0.3535010176493339,1.7868558917176074,86.6,0.48,0.15,called_strike,9.0,1,0
2026-07-31,L,FF,4-Seam Fastball,1.2485123058617655,0.638913685603797,94.8,-0.11,1.49,ball,14.0,0,0
2026-08-05,L,FF,4-Seam Fastball,0.0858643847304716,2.4100385805453177,95.3,-0.51,1.12,hit_into_play,5.0,1,0
2026-08-05,L,SL,Slider,-1.1416154831101677,2.891335823567874,87.4,0.61,0.31,ball,11.0,0,0
2026-08-05,L,FF,4-Seam Fastball,-0.0194853764406426,2.811870055344063,94.4,-0.38,1.17,hit_into_play,2.0,1,0
2026-08-05,L,FF,4-Seam Fastball,0.483555242014913,1.5839973022559333,95.4,-0.29,1.27,ball,9.0,0,0
2026-08-05,L,FF,4-Seam Fastball,0.507264536334776,1.465477623592362,96.0,-0.11,1.37,hit_into_play,9.0,3,1
2026-08-05,L,FF,4-Seam Fastball,1.3584151003369505,1.2370081642272877,94.7,-0.02,1.46,swinging_strike,14.0,3,0
2026-08-05,L,FF,4-Seam Fastball,-0.6392749589768739,3.803123160496818,95.2,0.12,1.44,ball,11.0,2,0
2026-08-05,L,CH,Changeup,-0.7185553449430775,1.165674107250133,89.3,-0.88,0.38,ball,13.0,1,0
2026-08-05,L,ST,Sweeper,-1.3022486462636278,2.5389166982618163,81.9,1.35,0.35,ball,11.0,0,0
2026-08-05,L,CH,Changeup,-0.760125824365609,1.2486597574635656,88.7,-0.88,-0.13,swinging_strike,13.0,1,2
2026-08-05,L,FF,4-Seam Fastball,0.9109818511464838,3.2792536612102454,96.7,-0.29,1.47,foul,12.0,1,2
2026-08-05,L,FF,4-Seam Fastball,-0.5325458932765955,3.0254963229855325,95.5,-0.14,1.32,foul,1.0,1,1
2026-08-05,L,CH,Changeup,-1.67645501875489,2.6643261630890165,88.8,-1.38,0.42,ball,11.0,0,1
2026-08-05,L,CH,Changeup,-1.1903388852573709,2.723048712321627,89.5,-1.22,0.41,swinging_strike,11.0,0,0
2026-08-05,L,FF,4-Seam Fastball,0.2123684373283625,3.048292886778705,96.2,-0.08,1.56,hit_into_play,2.0,2,2
2026-08-05,L,CH,Changeup,-0.6412389857198273,1.9132599332896143,88.4,-1.24,0.32,foul,7.0,2,2
2026-08-05,L,CH,Changeup,-1.1829515689931376,2.8182411403947785,88.7,-1.15,0.26,ball,11.0,1,2
2026-08-05,L,CH,Changeup,0.0835417184078026,1.5885695703269445,88.5,-1.21,0.35,swinging_strike,8.0,1,1
2026-08-05,L,FF,4-Seam Fastball,1.0142522167868069,5.195535346968309,95.9,-0.29,1.41,ball,12.0,0,1
2026-08-05,L,CH,Changeup,-1.1374201910426174,2.8423619728835967,89.7,-1.2,0.11,swinging_strike,11.0,0,0
2026-08-05,R,SI,Sinker,-0.7546690070613069,2.964788995648018,95.3,-1.21,0.78,hit_into_play,1.0,0,0
2026-08-05,L,CH,Changeup,-1.391111499941593,2.425920150540173,90.0,-1.18,0.07,swinging_strike,11.0,0,2
2026-08-05,L,FF,4-Seam Fastball,1.27744936180585,2.446343706382754,95.7,0.02,1.54,foul,12.0,0,1
2026-08-05,L,ST,Sweeper,0.1540877147494297,1.736343759694564,81.2,1.51,0.0,called_strike,8.0,0,0
2026-08-05,L,FF,4-Seam Fastball,0.6953480325086567,3.5231101600483976,95.5,-0.02,1.31,swinging_strike,12.0,2,2
2026-08-05,L,CH,Changeup,-1.7885975117867807,3.4772104737014056,89.4,-1.15,0.16,ball,11.0,1,2
2026-08-05,L,ST,Sweeper,0.5014339954550306,1.1185738247435406,80.7,1.4,0.35,foul,14.0,1,1
2026-08-05,L,SL,Slider,-0.5277209962598586,2.4838420169913182,83.9,0.72,0.08,called_strike,4.0,1,0
2026-08-05,L,ST,Sweeper,1.106712616830863,0.6907100027677164,81.2,1.64,0.24,blocked_ball,14.0,0,0
2026-08-05,R,ST,Sweeper,0.4619159306834097,1.831949141593701,80.5,1.64,-0.13,hit_into_play,9.0,2,1
2026-08-05,R,ST,Sweeper,0.2414089955864078,3.311806335507178,80.2,1.58,0.12,called_strike,12.0,2,0
2026-08-05,R,SI,Sinker,-1.5513348552873911,3.23757909388837,93.8,-1.16,0.9,ball,11.0,1,0
2026-08-05,R,FF,4-Seam Fastball,-0.8248694168809472,1.5425638399107762,95.9,-0.34,0.93,ball,13.0,0,0
2026-08-05,L,FF,4-Seam Fastball,-1.033536935616677,3.5606675284435823,95.6,-0.29,1.2,ball,11.0,3,1
2026-08-05,L,FF,4-Seam Fastball,-0.5103052491178215,4.1425904366919095,93.9,-0.11,1.14,ball,11.0,2,1
2026-08-05,L,ST,Sweeper,-1.1066893981010246,2.7797919269809466,81.2,1.76,0.5,ball,11.0,1,1
2026-08-05,L,CH,Changeup,-0.3354879794574501,3.49475097160139,89.8,-0.74,0.19,ball,11.0,0,1
2026-08-05,L,CH,Changeup,-0.8087647472733068,1.4445156056021764,89.3,-0.84,0.05,foul,13.0,0,0
2026-08-05,L,ST,Sweeper,0.4369177881480335,1.689448652008578,82.7,1.74,0.19,hit_into_play,9.0,2,2
2026-08-05,L,CU,Curveball,0.2192783869969081,0.8685608928392283,83.0,0.57,-0.75,ball,14.0,1,2
2026-08-05,L,FF,4-Seam Fastball,0.1293528014021225,2.851524858394203,94.7,-0.29,1.38,foul,2.0,1,1
2026-08-05,L,SL,Slider,-0.3910414025541265,2.414728422952364,84.8,0.54,-0.03,called_strike,4.0,1,0
2026-08-05,L,FF,4-Seam Fastball,-0.8541645049261897,4.182694753768767,94.7,-0.34,1.4,ball,11.0,0,0
2026-08-05,L,FF,4-Seam Fastball,-0.2367269968811728,1.4674065723315084,96.3,-0.39,0.75,hit_into_play,8.0,0,0
2026-08-05,L,ST,Sweeper,-0.113462269039952,1.806674375835696,82.3,1.18,-0.15,hit_into_play,8.0,0,0
2026-08-05,L,FF,4-Seam Fastball,-0.8898643920216306,2.739002402071158,95.9,-0.5,1.13,swinging_strike,11.0,3,2
2026-08-05,L,CH,Changeup,-1.107829689618562,1.875900165637252,90.0,-1.04,0.65,swinging_strike,13.0,3,1
2026-08-05,L,ST,Sweeper,-1.0271815840640186,2.7016815358209088,80.6,1.1,-0.18,ball,11.0,2,1
2026-08-05,L,CH,Changeup,-1.6177429311225415,3.038121617508097,90.3,-1.2,0.38,ball,11.0,1,1
2026-08-05,L,CH,Changeup,0.7003602715456521,-0.0702516096097367,90.3,-1.19,0.64,blocked_ball,14.0,0,1
2026-08-05,L,FF,4-Seam Fastball,-0.1673068843193471,2.5302164926459536,96.2,-0.4,0.85,foul,5.0,0,0
2026-08-05,R,SI,Sinker,-0.4297966928705286,3.5652820752685885,93.9,-1.01,0.91,hit_into_play,11.0,3,2
2026-08-05,R,CH,Changeup,0.8226695532538539,0.4240401639595288,89.1,-1.07,0.42,blocked_ball,14.0,2,2
2026-08-05,R,ST,Sweeper,-0.1014215860651588,2.601802963162659,81.6,1.71,0.32,foul,5.0,2,1
2026-08-05,R,ST,Sweeper,-0.9788893180750896,3.054029222019435,80.9,1.74,0.27,ball,11.0,1,1
2026-08-05,R,SI,Sinker,0.3628017209817011,0.6489614275343067,95.2,-1.05,1.04,ball,14.0,0,1
2026-08-05,R,ST,Sweeper,1.5029223873903037,1.9165614196208915,81.7,1.8,0.25,swinging_strike,14.0,0,0
